formula,number,A_Density,B_Density,C_Density,X_Density,A_dipole Polarizability,B_dipole Polarizability,C_dipole Polarizability,X_dipole Polarizability,A_covalent Radius,B_covalent Radius,C_covalent Radius,X_covalent Radius,A_atomic Radius,B_atomic Radius,C_atomic Radius,X_atomic Radius,A_FirstIonization,B_FirstIonization,C_FirstIonization,X_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,C_number of Valence Electrons,X_number of Valence Electrons,A_number,B_number,C_number,X_number,A_Period,B_Period,C_Period,X_Period,A_Electronegativity,B_Electronegativity,C_Electronegativity,X_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,C_number of s+p Electrons,X_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,C_number of d Electrons,X_number of d Electrons,A_Mulliken EN,B_Mulliken EN,C_Mulliken EN,X_Mulliken EN,A-B_Density,A-C_Density,(A+B+C)-X_Density,A-B_dipole Polarizability,A-C_dipole Polarizability,(A+B+C)-X_dipole Polarizability,A-B_covalent Radius,A-C_covalent Radius,(A+B+C)-X_covalent Radius,A-B_atomic Radius,A-C_atomic Radius,(A+B+C)-X_atomic Radius,A-B_FirstIonization,A-C_FirstIonization,(A+B+C)-X_FirstIonization,A-B_number of Valence Electrons,A-C_number of Valence Electrons,(A+B+C)-X_number of Valence Electrons,A-B_number,A-C_number,(A+B+C)-X_number,A-B_Period,A-C_Period,(A+B+C)-X_Period,A-B_Electronegativity,A-C_Electronegativity,(A+B+C)-X_Electronegativity,A-B_number of s+p Electrons,A-C_number of s+p Electrons,(A+B+C)-X_number of s+p Electrons,A-B_number of d Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-B_Mulliken EN,A-C_Mulliken EN,(A+B+C)-X_Mulliken EN
Li2NaBF6,1,1.068,0.971,2.34,0.010199999999999999,328.225,162.7,20.5,22.44,266,155,85,384,2.9,1.8,0.85,3.0,1040.4,495.8,800.6,10086.0,2,1,3,42,6,11,5,54,4,3,2,12,1.96,0.93,2.04,23.88,2,1,3,42,0,0,0,0,6.02,2.85,4.29,62.46,0.09700000000000009,1.2719999999999998,4.368799999999999,165.52500000000003,307.725,488.985,111,181,122,1.0999999999999999,2.05,2.55,544.6000000000001,239.80000000000007,7749.2,1,1,36,5,1,32,1,2,3,1.0299999999999998,0.08000000000000007,18.95,1,1,36,0,0,0,3.1699999999999995,1.7299999999999995,49.3
Li2NaNF6,1,1.068,0.971,0.00125,0.010199999999999999,328.225,162.7,7.4,22.44,266,155,71,384,2.9,1.8,0.65,3.0,1040.4,495.8,1402.3,10086.0,2,1,5,42,6,11,7,54,4,3,2,12,1.96,0.93,3.04,23.88,2,1,5,42,0,0,0,0,6.02,2.85,7.3,62.46,0.09700000000000009,1.06675,2.03005,165.52500000000003,320.82500000000005,475.885,111,195,108,1.0999999999999999,2.25,2.3500000000000005,544.6000000000001,361.89999999999986,7147.5,1,3,34,5,1,30,1,2,3,1.0299999999999998,1.08,17.95,1,3,34,0,0,0,3.1699999999999995,1.2800000000000002,46.290000000000006
Li2CuAlF6,1,1.068,8.96,2.7,0.010199999999999999,328.225,46.5,57.8,22.44,266,112,126,384,2.9,1.35,1.25,3.0,1040.4,745.5,577.5,10086.0,2,11,3,42,6,29,13,54,4,4,3,12,1.96,1.9,1.61,23.88,2,1,3,42,0,10,0,0,6.02,4.48,3.23,62.46,7.892000000000001,1.6320000000000001,12.717800000000002,281.725,270.425,410.08500000000004,154,140,120,1.5499999999999998,1.65,2.5,294.9000000000001,462.9000000000001,7722.6,9,1,26,23,7,6,0,1,1,0.06000000000000005,0.34999999999999987,18.41,1,1,36,10,0,10,1.5399999999999991,2.7899999999999996,48.730000000000004
Li2CuPF6,1,1.068,8.96,1.82,0.010199999999999999,328.225,46.5,25.0,22.44,266,112,111,384,2.9,1.35,1.0,3.0,1040.4,745.5,1011.8,10086.0,2,11,5,42,6,29,15,54,4,4,3,12,1.96,1.9,2.19,23.88,2,1,5,42,0,10,0,0,6.02,4.48,5.62,62.46,7.892000000000001,0.752,11.837800000000001,281.725,303.225,377.285,154,155,105,1.5499999999999998,1.9,2.25,294.9000000000001,28.600000000000136,7288.3,9,3,24,23,9,4,0,1,1,0.06000000000000005,0.22999999999999998,17.83,1,3,34,10,0,10,1.5399999999999991,0.39999999999999947,46.34
Li2CuCrF6,1,1.068,8.96,7.15,0.010199999999999999,328.225,46.5,83.0,22.44,266,112,122,384,2.9,1.35,1.4,3.0,1040.4,745.5,652.9,10086.0,2,11,6,42,6,29,24,54,4,4,4,12,1.96,1.9,1.66,23.88,2,1,1,42,0,10,5,0,6.02,4.48,3.72,62.46,7.892000000000001,6.082000000000001,17.1678,281.725,245.22500000000002,435.285,154,144,116,1.5499999999999998,1.5,2.6500000000000004,294.9000000000001,387.5000000000001,7647.2,9,4,23,23,18,5,0,0,0,0.06000000000000005,0.30000000000000004,18.36,1,1,38,10,5,15,1.5399999999999991,2.2999999999999994,48.24
Li2CuCoF6,1,1.068,8.96,8.86,0.010199999999999999,328.225,46.5,55.0,22.44,266,112,111,384,2.9,1.35,1.35,3.0,1040.4,745.5,760.4,10086.0,2,11,9,42,6,29,27,54,4,4,4,12,1.96,1.9,1.88,23.88,2,1,2,42,0,10,7,0,6.02,4.48,4.3,62.46,7.892000000000001,7.792,18.877799999999997,281.725,273.225,407.285,154,155,105,1.5499999999999998,1.5499999999999998,2.5999999999999996,294.9000000000001,280.0000000000001,7539.7,9,7,20,23,21,8,0,0,0,0.06000000000000005,0.08000000000000007,18.14,1,0,37,10,7,17,1.5399999999999991,1.7199999999999998,47.66
Li2CuNiF6,1,1.068,8.96,8.91,0.010199999999999999,328.225,46.5,49.0,22.44,266,112,110,384,2.9,1.35,1.35,3.0,1040.4,745.5,737.1,10086.0,2,11,10,42,6,29,28,54,4,4,4,12,1.96,1.9,1.91,23.88,2,1,2,42,0,10,8,0,6.02,4.48,4.4,62.46,7.892000000000001,7.8420000000000005,18.9278,281.725,279.225,401.285,154,156,104,1.5499999999999998,1.5499999999999998,2.5999999999999996,294.9000000000001,303.30000000000007,7563.0,9,8,19,23,22,9,0,0,0,0.06000000000000005,0.050000000000000044,18.11,1,0,37,10,8,18,1.5399999999999991,1.6199999999999992,47.56
Li2CuGaF6,1,1.068,8.96,5.91,0.010199999999999999,328.225,46.5,50.0,22.44,266,112,124,384,2.9,1.35,1.3,3.0,1040.4,745.5,578.8,10086.0,2,11,3,42,6,29,31,54,4,4,4,12,1.96,1.9,1.81,23.88,2,1,3,42,0,10,0,0,6.02,4.48,3.2,62.46,7.892000000000001,4.8420000000000005,15.927800000000001,281.725,278.225,402.285,154,142,118,1.5499999999999998,1.5999999999999999,2.55,294.9000000000001,461.60000000000014,7721.3,9,1,26,23,25,12,0,0,0,0.06000000000000005,0.1499999999999999,18.21,1,1,36,10,0,10,1.5399999999999991,2.8199999999999994,48.760000000000005
Li2CuAsF6,1,1.068,8.96,5.78,0.010199999999999999,328.225,46.5,30.0,22.44,266,112,121,384,2.9,1.35,1.15,3.0,1040.4,745.5,947.0,10086.0,2,11,5,42,6,29,33,54,4,4,4,12,1.96,1.9,2.18,23.88,2,1,5,42,0,10,0,0,6.02,4.48,5.3,62.46,7.892000000000001,4.712,15.7978,281.725,298.225,382.285,154,145,115,1.5499999999999998,1.75,2.4000000000000004,294.9000000000001,93.40000000000009,7353.1,9,3,24,23,27,14,0,0,0,0.06000000000000005,0.2200000000000002,17.84,1,3,34,10,0,10,1.5399999999999991,0.7199999999999998,46.66
Li2AgNF6,1,1.068,10.5,0.00125,0.010199999999999999,328.225,55.0,7.4,22.44,266,128,71,384,2.9,1.6,0.65,3.0,1040.4,731.0,1402.3,10086.0,2,11,5,42,6,47,7,54,4,5,2,12,1.96,1.93,3.04,23.88,2,1,5,42,0,10,0,0,6.02,4.44,7.3,62.46,9.432,1.06675,11.559050000000001,273.225,320.82500000000005,368.185,138,195,81,1.2999999999999998,2.25,2.1500000000000004,309.4000000000001,361.89999999999986,6912.3,9,3,24,41,1,6,1,2,1,0.030000000000000027,1.08,16.95,1,3,34,10,0,10,1.5799999999999992,1.2800000000000002,44.7
Na2LiAlF6,1,1.942,0.534,2.7,0.010199999999999999,325.4,164.1125,57.8,22.44,310,133,126,384,3.6,1.45,1.25,3.0,991.6,520.2,577.5,10086.0,2,1,3,42,22,3,13,54,6,2,3,12,1.86,0.98,1.61,23.88,2,1,3,42,0,0,0,0,5.7,3.01,3.23,62.46,1.408,0.7580000000000002,5.1658,161.28749999999997,267.59999999999997,524.8725,177,184,185,2.1500000000000004,2.35,3.3,471.4,414.1,7996.7,1,1,36,19,9,16,4,3,1,0.8800000000000001,0.25,19.43,1,1,36,0,0,0,2.6900000000000004,2.47,50.519999999999996
Na2LiPF6,1,1.942,0.534,1.82,0.010199999999999999,325.4,164.1125,25.0,22.44,310,133,111,384,3.6,1.45,1.0,3.0,991.6,520.2,1011.8,10086.0,2,1,5,42,22,3,15,54,6,2,3,12,1.86,0.98,2.19,23.88,2,1,5,42,0,0,0,0,5.7,3.01,5.62,62.46,1.408,0.12199999999999989,4.2858,161.28749999999997,300.4,492.07250000000005,177,199,170,2.1500000000000004,2.6,3.05,471.4,20.199999999999932,7562.4,1,3,34,19,7,14,4,3,1,0.8800000000000001,0.32999999999999985,18.85,1,3,34,0,0,0,2.6900000000000004,0.08000000000000007,48.129999999999995
Na2LiScF6,1,1.942,0.534,2.99,0.010199999999999999,325.4,164.1125,97.0,22.44,310,133,148,384,3.6,1.45,1.6,3.0,991.6,520.2,633.1,10086.0,2,1,3,42,22,3,21,54,6,2,4,12,1.86,0.98,1.36,23.88,2,1,2,42,0,0,1,0,5.7,3.01,3.34,62.46,1.408,1.0480000000000003,5.4558,161.28749999999997,228.39999999999998,564.0725,177,162,207,2.1500000000000004,2.0,3.6500000000000004,471.4,358.5,7941.1,1,1,36,19,1,8,4,2,0,0.8800000000000001,0.5,19.68,1,0,37,0,1,1,2.6900000000000004,2.3600000000000003,50.41
Na2LiTiF6,1,1.942,0.534,4.54,0.010199999999999999,325.4,164.1125,100.0,22.44,310,133,136,384,3.6,1.45,1.4,3.0,991.6,520.2,658.8,10086.0,2,1,4,42,22,3,22,54,6,2,4,12,1.86,0.98,1.54,23.88,2,1,2,42,0,0,2,0,5.7,3.01,3.45,62.46,1.408,2.598,7.0058,161.28749999999997,225.39999999999998,567.0725,177,174,195,2.1500000000000004,2.2,3.4499999999999993,471.4,332.80000000000007,7915.4,1,2,35,19,0,7,4,2,0,0.8800000000000001,0.32000000000000006,19.5,1,0,37,0,2,2,2.6900000000000004,2.25,50.3
Na2LiVF6,1,1.942,0.534,6.11,0.010199999999999999,325.4,164.1125,87.0,22.44,310,133,134,384,3.6,1.45,1.35,3.0,991.6,520.2,650.9,10086.0,2,1,5,42,22,3,23,54,6,2,4,12,1.86,0.98,1.63,23.88,2,1,2,42,0,0,3,0,5.7,3.01,3.6,62.46,1.408,4.168,8.575800000000001,161.28749999999997,238.39999999999998,554.0725,177,176,193,2.1500000000000004,2.25,3.4000000000000004,471.4,340.70000000000005,7923.299999999999,1,3,34,19,1,6,4,2,0,0.8800000000000001,0.2300000000000002,19.41,1,0,37,0,3,3,2.6900000000000004,2.1,50.15
Na2LiCrF6,1,1.942,0.534,7.15,0.010199999999999999,325.4,164.1125,83.0,22.44,310,133,122,384,3.6,1.45,1.4,3.0,991.6,520.2,652.9,10086.0,2,1,6,42,22,3,24,54,6,2,4,12,1.86,0.98,1.66,23.88,2,1,1,42,0,0,5,0,5.7,3.01,3.72,62.46,1.408,5.208,9.615800000000002,161.28749999999997,242.39999999999998,550.0725,177,188,181,2.1500000000000004,2.2,3.4499999999999993,471.4,338.70000000000005,7921.299999999999,1,4,33,19,2,5,4,2,0,0.8800000000000001,0.20000000000000018,19.38,1,1,38,0,5,5,2.6900000000000004,1.98,50.03
Na2LiMnF6,1,1.942,0.534,7.44,0.010199999999999999,325.4,164.1125,68.0,22.44,310,133,119,384,3.6,1.45,1.4,3.0,991.6,520.2,717.3,10086.0,2,1,7,42,22,3,25,54,6,2,4,12,1.86,0.98,1.55,23.88,2,1,2,42,0,0,5,0,5.7,3.01,3.72,62.46,1.408,5.498,9.905800000000001,161.28749999999997,257.4,535.0725,177,191,178,2.1500000000000004,2.2,3.4499999999999993,471.4,274.30000000000007,7856.9,1,5,32,19,3,4,4,2,0,0.8800000000000001,0.31000000000000005,19.49,1,0,37,0,5,5,2.6900000000000004,1.98,50.03
Na2LiFeF6,1,1.942,0.534,7.87,0.010199999999999999,325.4,164.1125,62.0,22.44,310,133,116,384,3.6,1.45,1.4,3.0,991.6,520.2,762.5,10086.0,2,1,8,42,22,3,26,54,6,2,4,12,1.86,0.98,1.83,23.88,2,1,2,42,0,0,6,0,5.7,3.01,4.06,62.46,1.408,5.928,10.3358,161.28749999999997,263.4,529.0725,177,194,175,2.1500000000000004,2.2,3.4499999999999993,471.4,229.10000000000002,7811.7,1,6,31,19,4,3,4,2,0,0.8800000000000001,0.030000000000000027,19.21,1,0,37,0,6,6,2.6900000000000004,1.6400000000000006,49.69
Na2LiCoF6,1,1.942,0.534,8.86,0.010199999999999999,325.4,164.1125,55.0,22.44,310,133,111,384,3.6,1.45,1.35,3.0,991.6,520.2,760.4,10086.0,2,1,9,42,22,3,27,54,6,2,4,12,1.86,0.98,1.88,23.88,2,1,2,42,0,0,7,0,5.7,3.01,4.3,62.46,1.408,6.917999999999999,11.3258,161.28749999999997,270.4,522.0725,177,199,170,2.1500000000000004,2.25,3.4000000000000004,471.4,231.20000000000005,7813.799999999999,1,7,30,19,5,2,4,2,0,0.8800000000000001,0.019999999999999796,19.16,1,0,37,0,7,7,2.6900000000000004,1.4000000000000004,49.45
Na2LiNiF6,1,1.942,0.534,8.91,0.010199999999999999,325.4,164.1125,49.0,22.44,310,133,110,384,3.6,1.45,1.35,3.0,991.6,520.2,737.1,10086.0,2,1,10,42,22,3,28,54,6,2,4,12,1.86,0.98,1.91,23.88,2,1,2,42,0,0,8,0,5.7,3.01,4.4,62.46,1.408,6.968,11.3758,161.28749999999997,276.4,516.0725,177,200,169,2.1500000000000004,2.25,3.4000000000000004,471.4,254.5,7837.1,1,8,29,19,6,1,4,2,0,0.8800000000000001,0.04999999999999982,19.13,1,0,37,0,8,8,2.6900000000000004,1.2999999999999998,49.35
Na2LiCuF6,1,1.942,0.534,8.96,0.010199999999999999,325.4,164.1125,46.5,22.44,310,133,112,384,3.6,1.45,1.35,3.0,991.6,520.2,745.5,10086.0,2,1,11,42,22,3,29,54,6,2,4,12,1.86,0.98,1.9,23.88,2,1,1,42,0,0,10,0,5.7,3.01,4.48,62.46,1.408,7.018000000000001,11.4258,161.28749999999997,278.9,513.5725,177,198,171,2.1500000000000004,2.25,3.4000000000000004,471.4,246.10000000000002,7828.7,1,9,28,19,7,0,4,2,0,0.8800000000000001,0.039999999999999813,19.14,1,1,38,0,10,10,2.6900000000000004,1.2199999999999998,49.269999999999996
Na2LiGaF6,1,1.942,0.534,5.91,0.010199999999999999,325.4,164.1125,50.0,22.44,310,133,124,384,3.6,1.45,1.3,3.0,991.6,520.2,578.8,10086.0,2,1,3,42,22,3,31,54,6,2,4,12,1.86,0.98,1.81,23.88,2,1,3,42,0,0,0,0,5.7,3.01,3.2,62.46,1.408,3.968,8.3758,161.28749999999997,275.4,517.0725,177,186,183,2.1500000000000004,2.3,3.3499999999999996,471.4,412.80000000000007,7995.4,1,1,36,19,9,2,4,2,0,0.8800000000000001,0.050000000000000044,19.229999999999997,1,1,36,0,0,0,2.6900000000000004,2.5,50.55
Na2LiAsF6,1,1.942,0.534,5.78,0.010199999999999999,325.4,164.1125,30.0,22.44,310,133,121,384,3.6,1.45,1.15,3.0,991.6,520.2,947.0,10086.0,2,1,5,42,22,3,33,54,6,2,4,12,1.86,0.98,2.18,23.88,2,1,5,42,0,0,0,0,5.7,3.01,5.3,62.46,1.408,3.838,8.245800000000001,161.28749999999997,295.4,497.07250000000005,177,189,180,2.1500000000000004,2.45,3.1999999999999993,471.4,44.60000000000002,7627.2,1,3,34,19,11,4,4,2,0,0.8800000000000001,0.32000000000000006,18.86,1,3,34,0,0,0,2.6900000000000004,0.40000000000000036,48.45
Na2LiYF6,1,1.942,0.534,4.47,0.010199999999999999,325.4,164.1125,162.0,22.44,310,133,163,384,3.6,1.45,1.8,3.0,991.6,520.2,600.0,10086.0,2,1,3,42,22,3,39,54,6,2,5,12,1.86,0.98,1.22,23.88,2,1,2,42,0,0,1,0,5.7,3.01,3.19,62.46,1.408,2.5279999999999996,6.9357999999999995,161.28749999999997,163.39999999999998,629.0725,177,147,222,2.1500000000000004,1.8,3.8499999999999996,471.4,391.6,7974.2,1,1,36,19,17,10,4,1,1,0.8800000000000001,0.6400000000000001,19.82,1,0,37,0,1,1,2.6900000000000004,2.5100000000000002,50.56
Na2LiNbF6,1,1.942,0.534,8.57,0.010199999999999999,325.4,164.1125,98.0,22.44,310,133,147,384,3.6,1.45,1.45,3.0,991.6,520.2,652.1,10086.0,2,1,5,42,22,3,41,54,6,2,5,12,1.86,0.98,1.6,23.88,2,1,1,42,0,0,4,0,5.7,3.01,4.0,62.46,1.408,6.628,11.0358,161.28749999999997,227.39999999999998,565.0725,177,163,206,2.1500000000000004,2.1500000000000004,3.5,471.4,339.5,7922.1,1,3,34,19,19,12,4,1,1,0.8800000000000001,0.26,19.439999999999998,1,1,38,0,4,4,2.6900000000000004,1.7000000000000002,49.75
Na2LiMoF6,1,1.942,0.534,10.2,0.010199999999999999,325.4,164.1125,87.0,22.44,310,133,138,384,3.6,1.45,1.45,3.0,991.6,520.2,684.3,10086.0,2,1,6,42,22,3,42,54,6,2,5,12,1.86,0.98,2.16,23.88,2,1,1,42,0,0,5,0,5.7,3.01,3.9,62.46,1.408,8.258,12.665799999999999,161.28749999999997,238.39999999999998,554.0725,177,172,197,2.1500000000000004,2.1500000000000004,3.5,471.4,307.30000000000007,7889.9,1,4,33,19,20,13,4,1,1,0.8800000000000001,0.30000000000000004,18.88,1,1,38,0,5,5,2.6900000000000004,1.8000000000000003,49.85
Na2LiRuF6,1,1.942,0.534,12.4,0.010199999999999999,325.4,164.1125,72.0,22.44,310,133,125,384,3.6,1.45,1.3,3.0,991.6,520.2,710.2,10086.0,2,1,8,42,22,3,44,54,6,2,5,12,1.86,0.98,2.2,23.88,2,1,1,42,0,0,7,0,5.7,3.01,4.5,62.46,1.408,10.458,14.865800000000002,161.28749999999997,253.39999999999998,539.0725,177,185,184,2.1500000000000004,2.3,3.3499999999999996,471.4,281.4,7864.0,1,6,31,19,22,15,4,1,1,0.8800000000000001,0.3400000000000001,18.84,1,1,38,0,7,7,2.6900000000000004,1.2000000000000002,49.25
Na2LiRhF6,1,1.942,0.534,12.4,0.010199999999999999,325.4,164.1125,66.0,22.44,310,133,125,384,3.6,1.45,1.35,3.0,991.6,520.2,719.7,10086.0,2,1,9,42,22,3,45,54,6,2,5,12,1.86,0.98,2.28,23.88,2,1,1,42,0,0,8,0,5.7,3.01,4.3,62.46,1.408,10.458,14.865800000000002,161.28749999999997,259.4,533.0725,177,185,184,2.1500000000000004,2.25,3.4000000000000004,471.4,271.9,7854.5,1,7,30,19,23,16,4,1,1,0.8800000000000001,0.4199999999999997,18.759999999999998,1,1,38,0,8,8,2.6900000000000004,1.4000000000000004,49.45
Na2LiPdF6,1,1.942,0.534,12.0,0.010199999999999999,325.4,164.1125,26.14,22.44,310,133,120,384,3.6,1.45,1.4,3.0,991.6,520.2,804.4,10086.0,2,1,10,42,22,3,46,54,6,2,5,12,1.86,0.98,2.2,23.88,2,1,0,42,0,0,10,0,5.7,3.01,4.45,62.46,1.408,10.058,14.4658,161.28749999999997,299.26,493.21250000000003,177,190,179,2.1500000000000004,2.2,3.4499999999999993,471.4,187.20000000000005,7769.799999999999,1,8,29,19,24,17,4,1,1,0.8800000000000001,0.3400000000000001,18.84,1,2,39,0,10,10,2.6900000000000004,1.25,49.3
Na2LiAgF6,1,1.942,0.534,10.5,0.010199999999999999,325.4,164.1125,55.0,22.44,310,133,128,384,3.6,1.45,1.6,3.0,991.6,520.2,731.0,10086.0,2,1,11,42,22,3,47,54,6,2,5,12,1.86,0.98,1.93,23.88,2,1,1,42,0,0,10,0,5.7,3.01,4.44,62.46,1.408,8.558,12.9658,161.28749999999997,270.4,522.0725,177,182,187,2.1500000000000004,2.0,3.6500000000000004,471.4,260.6,7843.2,1,9,28,19,25,18,4,1,1,0.8800000000000001,0.06999999999999984,19.11,1,1,38,0,10,10,2.6900000000000004,1.2599999999999998,49.31
Na2LiInF6,1,1.942,0.534,7.31,0.010199999999999999,325.4,164.1125,65.0,22.44,310,133,142,384,3.6,1.45,1.55,3.0,991.6,520.2,558.3,10086.0,2,1,3,42,22,3,49,54,6,2,5,12,1.86,0.98,1.78,23.88,2,1,3,42,0,0,10,0,5.7,3.01,3.1,62.46,1.408,5.367999999999999,9.7758,161.28749999999997,260.4,532.0725,177,168,201,2.1500000000000004,2.05,3.5999999999999996,471.4,433.30000000000007,8015.9,1,1,36,19,27,20,4,1,1,0.8800000000000001,0.08000000000000007,19.259999999999998,1,1,36,0,10,10,2.6900000000000004,2.6,50.65
Na2LiSbF6,1,1.942,0.534,6.69,0.010199999999999999,325.4,164.1125,43.0,22.44,310,133,140,384,3.6,1.45,1.45,3.0,991.6,520.2,834.0,10086.0,2,1,5,42,22,3,51,54,6,2,5,12,1.86,0.98,2.05,23.88,2,1,5,42,0,0,10,0,5.7,3.01,4.85,62.46,1.408,4.748,9.155800000000001,161.28749999999997,282.4,510.07250000000005,177,170,199,2.1500000000000004,2.1500000000000004,3.5,471.4,157.60000000000002,7740.2,1,3,34,19,29,22,4,1,1,0.8800000000000001,0.18999999999999972,18.99,1,3,34,0,10,10,2.6900000000000004,0.8500000000000005,48.9
Na2LiTaF6,1,1.942,0.534,16.7,0.010199999999999999,325.4,164.1125,74.0,22.44,310,133,146,384,3.6,1.45,1.45,3.0,991.6,520.2,761.0,10086.0,2,1,5,42,22,3,73,54,6,2,6,12,1.86,0.98,1.5,23.88,2,1,2,42,0,0,3,0,5.7,3.01,4.11,62.46,1.408,14.758,19.165799999999997,161.28749999999997,251.39999999999998,541.0725,177,164,205,2.1500000000000004,2.1500000000000004,3.5,471.4,230.60000000000002,7813.2,1,3,34,19,51,44,4,0,2,0.8800000000000001,0.3600000000000001,19.54,1,0,37,0,3,3,2.6900000000000004,1.5899999999999999,49.64
Na2LiIrF6,1,1.942,0.534,22.6,0.010199999999999999,325.4,164.1125,54.0,22.44,310,133,122,384,3.6,1.45,1.35,3.0,991.6,520.2,880.0,10086.0,2,1,9,42,22,3,77,54,6,2,6,12,1.86,0.98,2.2,23.88,2,1,2,42,0,0,7,0,5.7,3.01,5.4,62.46,1.408,20.658,25.0658,161.28749999999997,271.4,521.0725,177,188,181,2.1500000000000004,2.25,3.4000000000000004,471.4,111.60000000000002,7694.2,1,7,30,19,55,48,4,0,2,0.8800000000000001,0.3400000000000001,18.84,1,0,37,0,7,7,2.6900000000000004,0.2999999999999998,48.35
Na2LiAuF6,1,1.942,0.534,19.3,0.010199999999999999,325.4,164.1125,36.0,22.44,310,133,124,384,3.6,1.45,1.35,3.0,991.6,520.2,890.1,10086.0,2,1,11,42,22,3,79,54,6,2,6,12,1.86,0.98,2.54,23.88,2,1,1,42,0,0,10,0,5.7,3.01,5.77,62.46,1.408,17.358,21.7658,161.28749999999997,289.4,503.07250000000005,177,186,183,2.1500000000000004,2.25,3.4000000000000004,471.4,101.5,7684.1,1,9,28,19,57,50,4,0,2,0.8800000000000001,0.6799999999999999,18.5,1,1,38,0,10,10,2.6900000000000004,0.0699999999999994,47.980000000000004
Na2LiTlF6,1,1.942,0.534,11.9,0.010199999999999999,325.4,164.1125,50.0,22.44,310,133,144,384,3.6,1.45,1.9,3.0,991.6,520.2,589.4,10086.0,2,1,3,42,22,3,81,54,6,2,6,12,1.86,0.98,2.04,23.88,2,1,3,42,0,0,10,0,5.7,3.01,3.2,62.46,1.408,9.958,14.365800000000002,161.28749999999997,275.4,517.0725,177,166,203,2.1500000000000004,1.7000000000000002,3.9499999999999993,471.4,402.20000000000005,7984.799999999999,1,1,36,19,59,52,4,0,2,0.8800000000000001,0.17999999999999994,19.0,1,1,36,0,10,10,2.6900000000000004,2.5,50.55
Na2LiBiF6,1,1.942,0.534,9.81,0.010199999999999999,325.4,164.1125,48.0,22.44,310,133,151,384,3.6,1.45,1.6,3.0,991.6,520.2,703.0,10086.0,2,1,5,42,22,3,83,54,6,2,6,12,1.86,0.98,2.02,23.88,2,1,5,42,0,0,10,0,5.7,3.01,4.69,62.46,1.408,7.868,12.275800000000002,161.28749999999997,277.4,515.0725,177,159,210,2.1500000000000004,2.0,3.6500000000000004,471.4,288.6,7871.2,1,3,34,19,61,54,4,0,2,0.8800000000000001,0.15999999999999992,19.02,1,3,34,0,10,10,2.6900000000000004,1.0099999999999998,49.06
Na2LiLaF6,1,1.942,0.534,6.15,0.010199999999999999,325.4,164.1125,215.0,22.44,310,133,180,384,3.6,1.45,1.95,3.0,991.6,520.2,538.1,10086.0,2,1,3,42,22,3,57,54,6,2,6,12,1.86,0.98,1.1,23.88,2,1,2,42,0,0,1,0,5.7,3.01,3.1,62.46,1.408,4.208,8.615800000000002,161.28749999999997,110.39999999999998,682.0725,177,130,239,2.1500000000000004,1.6500000000000001,4.0,471.4,453.5,8036.1,1,1,36,19,35,28,4,0,2,0.8800000000000001,0.76,19.939999999999998,1,0,37,0,1,1,2.6900000000000004,2.6,50.65
Na2LiCeF6,1,1.942,0.534,6.77,0.010199999999999999,325.4,164.1125,205.0,22.44,310,133,163,384,3.6,1.45,1.85,3.0,991.6,520.2,534.4,10086.0,2,1,3,42,22,3,58,54,6,2,6,12,1.86,0.98,1.12,23.88,2,1,2,42,0,0,1,0,5.7,3.01,3.1,62.46,1.408,4.827999999999999,9.2358,161.28749999999997,120.39999999999998,672.0725,177,147,222,2.1500000000000004,1.75,3.9000000000000004,471.4,457.20000000000005,8039.799999999999,1,1,36,19,36,29,4,0,2,0.8800000000000001,0.74,19.919999999999998,1,0,37,0,1,1,2.6900000000000004,2.6,50.65
Na2LiPrF6,1,1.942,0.534,6.77,0.010199999999999999,325.4,164.1125,216.0,22.44,310,133,176,384,3.6,1.45,1.85,3.0,991.6,520.2,527.0,10086.0,2,1,3,42,22,3,59,54,6,2,6,12,1.86,0.98,1.13,23.88,2,1,2,42,0,0,0,0,5.7,3.01,3.1,62.46,1.408,4.827999999999999,9.2358,161.28749999999997,109.39999999999998,683.0725,177,134,235,2.1500000000000004,1.75,3.9000000000000004,471.4,464.6,8047.2,1,1,36,19,37,30,4,0,2,0.8800000000000001,0.7300000000000002,19.91,1,0,37,0,0,0,2.6900000000000004,2.6,50.65
Na2LiNdF6,1,1.942,0.534,7.01,0.010199999999999999,325.4,164.1125,208.0,22.44,310,133,174,384,3.6,1.45,1.85,3.0,991.6,520.2,533.1,10086.0,2,1,3,42,22,3,60,54,6,2,6,12,1.86,0.98,1.14,23.88,2,1,2,42,0,0,0,0,5.7,3.01,3.1,62.46,1.408,5.068,9.475800000000001,161.28749999999997,117.39999999999998,675.0725,177,136,233,2.1500000000000004,1.75,3.9000000000000004,471.4,458.5,8041.1,1,1,36,19,38,31,4,0,2,0.8800000000000001,0.7200000000000002,19.9,1,0,37,0,0,0,2.6900000000000004,2.6,50.65
