formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Li2NaCuI6,Li,Na,Cu,I,1.159,1.028,0.62,0.8240000000000001,2.194,5.785690655186532,1
Li2NaGaF6,Li,Na,Ga,F,1.159,1.028,0.62,0.8240000000000001,1.331,4.738360558099154,1
Li2NaGaCl6,Li,Na,Ga,Cl,1.159,1.028,0.62,0.8240000000000001,1.806,5.314816868778766,1
Li2NaGaBr6,Li,Na,Ga,Br,1.159,1.028,0.62,0.8240000000000001,1.955,5.4956421114972125,1
Li2NaGaI6,Li,Na,Ga,I,1.159,1.028,0.62,0.8240000000000001,2.194,5.785690655186532,1
Li2NaAsF6,Li,Na,As,F,1.159,1.028,0.583,0.8055,1.331,4.606929528773989,1
Li2NaAsCl6,Li,Na,As,Cl,1.159,1.028,0.583,0.8055,1.806,5.196625369866478,1
Li2NaAsBr6,Li,Na,As,Br,1.159,1.028,0.583,0.8055,1.955,5.3816036442302275,1
Li2NaAsI6,Li,Na,As,I,1.159,1.028,0.583,0.8055,2.194,5.678313762169395,1
Li2NaYF6,Li,Na,Y,F,1.159,1.028,0.899,0.9635,1.331,6.892755432563188,1
Li2NaYCl6,Li,Na,Y,Cl,1.159,1.028,0.899,0.9635,1.806,7.385749724208232,1
Li2NaYBr6,Li,Na,Y,Br,1.159,1.028,0.899,0.9635,1.955,7.540394249376888,1
Li2NaYI6,Li,Na,Y,I,1.159,1.028,0.899,0.9635,2.194,7.788448219278289,1
Li2NaNbF6,Li,Na,Nb,F,1.159,1.028,0.724,0.876,1.331,5.245517159731176,1
Li2NaNbCl6,Li,Na,Nb,Cl,1.159,1.028,0.724,0.876,1.806,5.787754602653551,1
Li2NaNbBr6,Li,Na,Nb,Br,1.159,1.028,0.724,0.876,1.955,5.957845926854464,1
Li2NaNbI6,Li,Na,Nb,I,1.159,1.028,0.724,0.876,2.194,6.230676977082775,1
Li2NaMoF6,Li,Na,Mo,F,1.159,1.028,0.691,0.8594999999999999,1.331,5.059042044694625,1
Li2NaMoCl6,Li,Na,Mo,Cl,1.159,1.028,0.691,0.8594999999999999,1.806,5.611688932420047,1
Li2NaMoBr6,Li,Na,Mo,Br,1.159,1.028,0.691,0.8594999999999999,1.955,5.785045535096021,1
Li2NaMoI6,Li,Na,Mo,I,1.159,1.028,0.691,0.8594999999999999,2.194,6.063114179656813,1
Li2NaRuF6,Li,Na,Ru,F,1.159,1.028,0.676,0.8520000000000001,1.331,4.982786047166384,1
Li2NaRuCl6,Li,Na,Ru,Cl,1.159,1.028,0.676,0.8520000000000001,1.806,5.540297784255586,1
Li2NaRuBr6,Li,Na,Ru,Br,1.159,1.028,0.676,0.8520000000000001,1.955,5.715180413363567,1
Li2NaRuI6,Li,Na,Ru,I,1.159,1.028,0.676,0.8520000000000001,2.194,5.99569684528845,1
Li2NaRhF6,Li,Na,Rh,F,1.159,1.028,0.672,0.8500000000000001,1.331,4.963279249465088,1
Li2NaRhCl6,Li,Na,Rh,Cl,1.159,1.028,0.672,0.8500000000000001,1.806,5.522102778876853,1
Li2NaRhBr6,Li,Na,Rh,Br,1.159,1.028,0.672,0.8500000000000001,1.955,5.6973968965239115,1
Li2NaRhI6,Li,Na,Rh,I,1.159,1.028,0.672,0.8500000000000001,2.194,5.978573367112147,1
Li2NaPdF6,Li,Na,Pd,F,1.159,1.028,0.851,0.9395,1.331,6.2921415326326375,1
Li2NaPdCl6,Li,Na,Pd,Cl,1.159,1.028,0.851,0.9395,1.806,6.797729611397938,1
Li2NaPdBr6,Li,Na,Pd,Br,1.159,1.028,0.851,0.9395,1.955,6.956324608736948,1
Li2NaPdI6,Li,Na,Pd,I,1.159,1.028,0.851,0.9395,2.194,7.210715242052542,1
Li2NaAgF6,Li,Na,Ag,F,1.159,1.028,0.757,0.8925000000000001,1.331,5.46134094900086,1
Li2NaAgCl6,Li,Na,Ag,Cl,1.159,1.028,0.757,0.8925000000000001,1.806,5.9935538341549215,1
Li2NaAgBr6,Li,Na,Ag,Br,1.159,1.028,0.757,0.8925000000000001,1.955,6.1605006128664055,1
Li2NaAgI6,Li,Na,Ag,I,1.159,1.028,0.757,0.8925000000000001,2.194,6.428287727712345,1
Li2NaInF6,Li,Na,In,F,1.159,1.028,0.795,0.9115,1.331,5.753394289188439,1
Li2NaInCl6,Li,Na,In,Cl,1.159,1.028,0.795,0.9115,1.806,6.274513323746859,1
Li2NaInBr6,Li,Na,In,Br,1.159,1.028,0.795,0.9115,1.955,6.437980136692554,1
Li2NaInI6,Li,Na,In,I,1.159,1.028,0.795,0.9115,2.194,6.700185293028264,1
Li2NaSbF6,Li,Na,Sb,F,1.159,1.028,0.861,0.9445,1.331,6.405113392034375,1
Li2NaSbCl6,Li,Na,Sb,Cl,1.159,1.028,0.861,0.9445,1.806,6.908024985470055,1
Li2NaSbBr6,Li,Na,Sb,Br,1.159,1.028,0.861,0.9445,1.955,7.065780411621458,1
Li2NaSbI6,Li,Na,Sb,I,1.159,1.028,0.861,0.9445,2.194,7.318824350213305,1
Li2NaTaF6,Li,Na,Ta,F,1.159,1.028,0.726,0.877,1.331,5.257713369409569,1
Li2NaTaCl6,Li,Na,Ta,Cl,1.159,1.028,0.726,0.877,1.806,5.799332525623935,1
