formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Ag2KFeBr6,Ag,K,Fe,Br,1.521,1.388,0.646,1.017,1.955,4.637934799392132,1
Ag2KFeI6,Ag,K,Fe,I,1.521,1.388,0.646,1.017,2.194,4.8729397158129775,1
Ag2KCoF6,Ag,K,Co,F,1.521,1.388,0.612,1.0,1.331,3.9578860567455525,1
Ag2KCoCl6,Ag,K,Co,Cl,1.521,1.388,0.612,1.0,1.806,4.432886056745552,1
Ag2KCoBr6,Ag,K,Co,Br,1.521,1.388,0.612,1.0,1.955,4.581886056745553,1
Ag2KCoI6,Ag,K,Co,I,1.521,1.388,0.612,1.0,2.194,4.820886056745552,1
Ag2KNiF6,Ag,K,Ni,F,1.521,1.388,0.601,0.9944999999999999,1.331,3.9379662096991934,1
Ag2KNiCl6,Ag,K,Ni,Cl,1.521,1.388,0.601,0.9944999999999999,1.806,4.415593157914377,1
Ag2KNiBr6,Ag,K,Ni,Br,1.521,1.388,0.601,0.9944999999999999,1.955,4.565417190091351,1
Ag2KNiI6,Ag,K,Ni,I,1.521,1.388,0.601,0.9944999999999999,2.194,4.805738959824884,1
Ag2KCuF6,Ag,K,Cu,F,1.521,1.388,0.62,1.004,1.331,3.972851279260594,1
Ag2KCuCl6,Ag,K,Cu,Cl,1.521,1.388,0.62,1.004,1.806,4.44595884898171,1
Ag2KCuBr6,Ag,K,Cu,Br,1.521,1.388,0.62,1.004,1.955,4.594365223483702,1
Ag2KCuI6,Ag,K,Cu,I,1.521,1.388,0.62,1.004,2.194,4.832413032248642,1
Ag2KGaF6,Ag,K,Ga,F,1.521,1.388,0.62,1.004,1.331,3.972851279260594,1
Ag2KGaCl6,Ag,K,Ga,Cl,1.521,1.388,0.62,1.004,1.806,4.44595884898171,1
Ag2KGaBr6,Ag,K,Ga,Br,1.521,1.388,0.62,1.004,1.955,4.594365223483702,1
Ag2KGaI6,Ag,K,Ga,I,1.521,1.388,0.62,1.004,2.194,4.832413032248642,1
Ag2KAsF6,Ag,K,As,F,1.521,1.388,0.583,0.9854999999999999,1.331,3.90696795846031,1
Ag2KAsCl6,Ag,K,As,Cl,1.521,1.388,0.583,0.9854999999999999,1.806,4.388956796613532,1
Ag2KAsBr6,Ag,K,As,Br,1.521,1.388,0.583,0.9854999999999999,1.955,4.540149084792121,1
Ag2KAsI6,Ag,K,As,I,1.521,1.388,0.583,0.9854999999999999,2.194,4.782665573883953,1
Ag2KYF6,Ag,K,Y,F,1.521,1.388,0.899,1.1435,1.331,4.826594633999168,1
Ag2KYCl6,Ag,K,Y,Cl,1.521,1.388,0.899,1.1435,1.806,5.241985976369085,1
Ag2KYBr6,Ag,K,Y,Br,1.521,1.388,0.899,1.1435,1.955,5.372287681659858,1
Ag2KYI6,Ag,K,Y,I,1.521,1.388,0.899,1.1435,2.194,5.581295114978617,1
Ag2KNbF6,Ag,K,Nb,F,1.521,1.388,0.724,1.056,1.331,4.207855792071543,1
Ag2KNbCl6,Ag,K,Nb,Cl,1.521,1.388,0.724,1.056,1.806,4.6576663981321484,1
Ag2KNbBr6,Ag,K,Nb,Br,1.521,1.388,0.724,1.056,1.955,4.798764882980634,1
Ag2KNbI6,Ag,K,Nb,I,1.521,1.388,0.724,1.056,2.194,5.025090640556391,1
Ag2KMoF6,Ag,K,Mo,F,1.521,1.388,0.691,1.0394999999999999,1.331,4.124603824626858,1
Ag2KMoCl6,Ag,K,Mo,Cl,1.521,1.388,0.691,1.0394999999999999,1.806,4.581554281577316,1
Ag2KMoBr6,Ag,K,Mo,Br,1.521,1.388,0.691,1.0394999999999999,1.955,4.724892424915459,1
Ag2KMoI6,Ag,K,Mo,I,1.521,1.388,0.691,1.0394999999999999,2.194,4.954810654833689,1
Ag2KRuF6,Ag,K,Ru,F,1.521,1.388,0.676,1.032,1.331,4.089557732014509,1
Ag2KRuCl6,Ag,K,Ru,Cl,1.521,1.388,0.676,1.032,1.806,4.549829049843966,1
Ag2KRuBr6,Ag,K,Ru,Br,1.521,1.388,0.676,1.032,1.955,4.6942088948052065,1
Ag2KRuI6,Ag,K,Ru,I,1.521,1.388,0.676,1.032,2.194,4.925798042092028,1
Ag2KRhF6,Ag,K,Rh,F,1.521,1.388,0.672,1.03,1.331,4.080494003344695,1
Ag2KRhCl6,Ag,K,Rh,Cl,1.521,1.388,0.672,1.03,1.806,4.541659051888384,1
Ag2KRhBr6,Ag,K,Rh,Br,1.521,1.388,0.672,1.03,1.955,4.6863192460631415,1
Ag2KRhI6,Ag,K,Rh,I,1.521,1.388,0.672,1.03,2.194,4.918358081014597,1
Ag2KPdF6,Ag,K,Pd,F,1.521,1.388,0.851,1.1195,1.331,4.621892468181219,1
Ag2KPdCl6,Ag,K,Pd,Cl,1.521,1.388,0.851,1.1195,1.806,5.0461890291459355,1
Ag2KPdBr6,Ag,K,Pd,Br,1.521,1.388,0.851,1.1195,1.955,5.179284160901183,1
Ag2KPdI6,Ag,K,Pd,I,1.521,1.388,0.851,1.1195,2.194,5.392772325260272,1
Ag2KInF6,Ag,K,In,F,1.521,1.388,0.795,1.0915,1.331,4.419036156884008,1
Ag2KInCl6,Ag,K,In,Cl,1.521,1.388,0.795,1.0915,1.806,4.854217100539528,1
Ag2KInBr6,Ag,K,In,Br,1.521,1.388,0.795,1.0915,1.955,4.990726491286207,1
Ag2KInI6,Ag,K,In,I,1.521,1.388,0.795,1.0915,2.194,5.209691218725511,1
Ag2KSbF6,Ag,K,Sb,F,1.521,1.388,0.861,1.1244999999999998,1.331,4.66201118074394,1
Ag2KSbCl6,Ag,K,Sb,Cl,1.521,1.388,0.861,1.1244999999999998,1.806,5.084421140726155,1
Ag2KSbBr6,Ag,K,Sb,Br,1.521,1.388,0.861,1.1244999999999998,1.955,5.216924475541629,1
Ag2KSbI6,Ag,K,Sb,I,1.521,1.388,0.861,1.1244999999999998,2.194,5.429463381722153,1
Ag2KTaF6,Ag,K,Ta,F,1.521,1.388,0.726,1.057,1.331,4.213185604832715,1
Ag2KTaCl6,Ag,K,Ta,Cl,1.521,1.388,0.726,1.057,1.806,4.662570656866774,1
Ag2KTaBr6,Ag,K,Ta,Br,1.521,1.388,0.726,1.057,1.955,4.803535652136405,1
Ag2KTaI6,Ag,K,Ta,I,1.521,1.388,0.726,1.057,2.194,5.0296472888440675,1
Ag2KIrF6,Ag,K,Ir,F,1.521,1.388,0.687,1.0375,1.331,4.115092882956682,1
Ag2KIrCl6,Ag,K,Ir,Cl,1.521,1.388,0.687,1.0375,1.806,4.572924208257886,1
Ag2KIrBr6,Ag,K,Ir,Br,1.521,1.388,0.687,1.0375,1.955,4.716538666089212,1
Ag2KIrI6,Ag,K,Ir,I,1.521,1.388,0.687,1.0375,2.194,4.946900111872344,1
Ag2KAuF6,Ag,K,Au,F,1.521,1.388,0.842,1.115,1.331,4.586848469934533,1
Ag2KAuCl6,Ag,K,Au,Cl,1.521,1.388,0.842,1.115,1.806,5.0128574385443985,1
Ag2KAuBr6,Ag,K,Au,Br,1.521,1.388,0.842,1.115,1.955,5.146489725539914,1
Ag2KAuI6,Ag,K,Au,I,1.521,1.388,0.842,1.115,2.194,5.3608395013246675,1
Ag2KTlF6,Ag,K,Tl,F,1.521,1.388,0.884,1.136,1.331,4.7592407485392725,1
Ag2KTlCl6,Ag,K,Tl,Cl,1.521,1.388,0.884,1.136,1.806,5.1773745513561735,1
Ag2KTlBr6,Ag,K,Tl,Br,1.521,1.388,0.884,1.136,1.955,5.3085365231871595,1
Ag2KTlI6,Ag,K,Tl,I,1.521,1.388,0.884,1.136,2.194,5.5189238471308215,1
Ag2KBiF6,Ag,K,Bi,F,1.521,1.388,1.03,1.209,1.331,5.58089492793231,1
Ag2KBiCl6,Ag,K,Bi,Cl,1.521,1.388,1.03,1.209,1.806,5.9737816111415745,1
Ag2KBiBr6,Ag,K,Bi,Br,1.521,1.388,1.03,1.209,1.955,6.097023960190375,1
Ag2KBiI6,Ag,K,Bi,I,1.521,1.388,1.03,1.209,2.194,6.294707996584089,1
Ag2KLaF6,Ag,K,La,F,1.521,1.388,1.032,1.21,1.331,5.5952467193830575,1
Ag2KLaCl6,Ag,K,La,Cl,1.521,1.388,1.032,1.21,1.806,5.987808702854132,1
Ag2KLaBr6,Ag,K,La,Br,1.521,1.388,1.032,1.21,1.955,6.1109491987219,1
Ag2KLaI6,Ag,K,La,I,1.521,1.388,1.032,1.21,2.194,6.308469859878925,1
Ag2KCeF6,Ag,K,Ce,F,1.521,1.388,1.01,1.1989999999999998,1.331,5.44284943236859,1
Ag2KCeCl6,Ag,K,Ce,Cl,1.521,1.388,1.01,1.1989999999999998,1.806,5.839012901926555,1
Ag2KCeBr6,Ag,K,Ce,Br,1.521,1.388,1.01,1.1989999999999998,1.955,5.963283127114211,1
Ag2KCeI6,Ag,K,Ce,I,1.521,1.388,1.01,1.1989999999999998,2.194,6.162615904428639,1
Ag2KPrF6,Ag,K,Pr,F,1.521,1.388,0.993,1.1905,1.331,5.332884866888968,1
Ag2KPrCl6,Ag,K,Pr,Cl,1.521,1.388,0.993,1.1905,1.806,5.731876887048564,1
Ag2KPrBr6,Ag,K,Pr,Br,1.521,1.388,0.993,1.1905,1.955,5.857034383898627,1
Ag2KPrI6,Ag,K,Pr,I,1.521,1.388,0.993,1.1905,2.194,6.05779036877893,1
Ag2KNdF6,Ag,K,Nd,F,1.521,1.388,0.98,1.184,1.331,5.25303735426446,1
Ag2KNdCl6,Ag,K,Nd,Cl,1.521,1.388,0.98,1.184,1.806,5.654219786696893,1
Ag2KNdBr6,Ag,K,Nd,Br,1.521,1.388,0.98,1.184,1.955,5.780064381291488,1
Ag2KNdI6,Ag,K,Nd,I,1.521,1.388,0.98,1.184,2.194,5.9819224893995955,1
Ag2KPmF6,Ag,K,Pm,F,1.521,1.388,0.969,1.1784999999999999,1.331,5.188179993586443,1
Ag2KPmCl6,Ag,K,Pm,Cl,1.521,1.388,0.969,1.1784999999999999,1.806,5.591234724176176,1
Ag2KPmBr6,Ag,K,Pm,Br,1.521,1.388,0.969,1.1784999999999999,1.955,5.717666629140113,1
Ag2KPmI6,Ag,K,Pm,I,1.521,1.388,0.969,1.1784999999999999,2.194,5.920466798847368,1
Ag2KSmF6,Ag,K,Sm,F,1.521,1.388,0.958,1.173,1.331,5.125682749157281,1
Ag2KSmCl6,Ag,K,Sm,Cl,1.521,1.388,0.958,1.173,1.806,5.530627335687546,1
Ag2KSmBr6,Ag,K,Sm,Br,1.521,1.388,0.958,1.173,1.955,5.657652058620197,1
Ag2KSmI6,Ag,K,Sm,I,1.521,1.388,0.958,1.173,2.194,5.861403124263846,1
Ag2KEuF6,Ag,K,Eu,F,1.521,1.388,0.947,1.1675,1.331,5.065439645917296,1
Ag2KEuCl6,Ag,K,Eu,Cl,1.521,1.388,0.947,1.1675,1.806,5.472291894311301,1
Ag2KEuBr6,Ag,K,Eu,Br,1.521,1.388,0.947,1.1675,1.955,5.599915020649631,1
Ag2KEuI6,Ag,K,Eu,I,1.521,1.388,0.947,1.1675,2.194,5.804625941420508,1
Ag2KGdF6,Ag,K,Gd,F,1.521,1.388,0.936,1.162,1.331,5.007351279624226,1
Ag2KGdCl6,Ag,K,Gd,Cl,1.521,1.388,0.936,1.162,1.806,5.416129248643159,1
Ag2KGdBr6,Ag,K,Gd,Br,1.521,1.388,0.936,1.162,1.955,5.544356443135413,1
Ag2KGdI6,Ag,K,Gd,I,1.521,1.388,0.936,1.162,2.194,5.750036305441782,1
Ag2KTbF6,Ag,K,Tb,F,1.521,1.388,0.924,1.156,1.331,4.946330108713432,1
Ag2KTbCl6,Ag,K,Tb,Cl,1.521,1.388,0.924,1.156,1.806,5.35722976269267,1
Ag2KTbBr6,Ag,K,Tb,Br,1.521,1.388,0.924,1.156,1.955,5.486122496256685,1
Ag2KTbI6,Ag,K,Tb,I,1.521,1.388,0.924,1.156,2.194,5.692869901100975,1
Ag2KDyF6,Ag,K,Dy,F,1.521,1.388,0.912,1.15,1.331,4.887648738978967,1
Ag2KDyCl6,Ag,K,Dy,Cl,1.521,1.388,0.912,1.15,1.806,5.300692217239837,1
Ag2KDyBr6,Ag,K,Dy,Br,1.521,1.388,0.912,1.15,1.955,5.430257434631142,1
Ag2KDyI6,Ag,K,Dy,I,1.521,1.388,0.912,1.15,2.194,5.638083521587664,1
Ag2KHoF6,Ag,K,Ho,F,1.521,1.388,0.9,1.144,1.331,4.831200957585984,1
Ag2KHoCl6,Ag,K,Ho,Cl,1.521,1.388,0.9,1.144,1.806,5.246410747795775,1
Ag2KHoBr6,Ag,K,Ho,Br,1.521,1.388,0.9,1.144,1.955,5.37665550304053,1
Ag2KHoI6,Ag,K,Ho,I,1.521,1.388,0.9,1.144,2.194,5.585571586956613,1
Ag2KErF6,Ag,K,Er,F,1.521,1.388,0.889,1.1385,1.331,4.7813342570553985,1
Ag2KErCl6,Ag,K,Er,Cl,1.521,1.388,0.889,1.1385,1.806,5.198549891662338,1
Ag2KErBr6,Ag,K,Er,Br,1.521,1.388,0.889,1.1385,1.955,5.329423848623251,1
Ag2KErI6,Ag,K,Er,I,1.521,1.388,0.889,1.1385,2.194,5.539349188983374,1
Ag2KTmF6,Ag,K,Tm,F,1.521,1.388,0.879,1.1335,1.331,4.737496337160739,1
Ag2KTmCl6,Ag,K,Tm,Cl,1.521,1.388,0.879,1.1335,1.806,5.156552358334095,1
Ag2KTmBr6,Ag,K,Tm,Br,1.521,1.388,0.879,1.1335,1.955,5.288003615502158,1
Ag2KTmI6,Ag,K,Tm,I,1.521,1.388,0.879,1.1335,2.194,5.498854960892542,1
Ag2KYbF6,Ag,K,Yb,F,1.521,1.388,0.868,1.128,1.331,4.690856631044648,1
Ag2KYbCl6,Ag,K,Yb,Cl,1.521,1.388,0.868,1.128,1.806,5.11195592182479,1
Ag2KYbBr6,Ag,K,Yb,Br,1.521,1.388,0.868,1.128,1.955,5.24404812040635,1
Ag2KYbI6,Ag,K,Yb,I,1.521,1.388,0.868,1.128,2.194,5.455927553030463,1
Ag2KLuF6,Ag,K,Lu,F,1.521,1.388,0.857,1.1225,1.331,4.645811919545267,1
Ag2KLuCl6,Ag,K,Lu,Cl,1.521,1.388,0.857,1.1225,1.806,5.068974503064197,1
Ag2KLuBr6,Ag,K,Lu,Br,1.521,1.388,0.857,1.1225,1.955,5.20171392399961,1
Ag2KLuI6,Ag,K,Lu,I,1.521,1.388,0.857,1.1225,2.194,5.414631518654398,1
Ag2KUF6,Ag,K,U,F,1.521,1.388,1.024,1.206,1.331,5.538449453420773,1
Ag2KUCl6,Ag,K,U,Cl,1.521,1.388,1.024,1.206,1.806,5.932313466687771,1
Ag2KUBr6,Ag,K,U,Br,1.521,1.388,1.024,1.206,1.955,6.055862388744155,1
Ag2KUI6,Ag,K,U,I,1.521,1.388,1.024,1.206,2.194,6.254038176472182,1
Ag2CuBF6,Ag,Cu,B,F,1.521,0.774,0.266,0.52,1.331,4.284869313189038,1
Ag2CuBCl6,Ag,Cu,B,Cl,1.521,0.774,0.266,0.52,1.806,5.198330851650577,1
Ag2CuBBr6,Ag,Cu,B,Br,1.521,0.774,0.266,0.52,1.955,5.484869313189039,1
Ag2CuBI6,Ag,Cu,B,I,1.521,0.774,0.266,0.52,2.194,5.944484697804423,1
Ag2CuNF6,Ag,Cu,N,F,1.521,0.774,0.166,0.47000000000000003,1.331,4.587531482767956,1
Ag2CuNCl6,Ag,Cu,N,Cl,1.521,0.774,0.166,0.47000000000000003,1.806,5.598169780640296,1
Ag2CuNBr6,Ag,Cu,N,Br,1.521,0.774,0.166,0.47000000000000003,1.955,5.915191057236041,1
Ag2CuNI6,Ag,Cu,N,I,1.521,0.774,0.166,0.47000000000000003,2.194,6.4237016955339135,1
Ag2CuAlF6,Ag,Cu,Al,F,1.521,0.774,0.537,0.6555,1.331,3.7871906918414955,1
Ag2CuAlCl6,Ag,Cu,Al,Cl,1.521,0.774,0.537,0.6555,1.806,4.511828373000916,1
Ag2CuAlBr6,Ag,Cu,Al,Br,1.521,0.774,0.537,0.6555,1.955,4.739135771933029,1
Ag2CuAlI6,Ag,Cu,Al,I,1.521,0.774,0.537,0.6555,2.194,5.10374294203219,1
Ag2CuPF6,Ag,Cu,P,F,1.521,0.774,0.444,0.609,1.331,3.9141890372330144,1
Ag2CuPCl6,Ag,Cu,P,Cl,1.521,0.774,0.444,0.609,1.806,4.6941561965105185,1
Ag2CuPBr6,Ag,Cu,P,Br,1.521,0.774,0.444,0.609,1.955,4.938819579104935,1
Ag2CuPI6,Ag,Cu,P,I,1.521,0.774,0.444,0.609,2.194,5.331266212930879,1
Ag2CuScF6,Ag,Cu,Sc,F,1.521,0.774,0.741,0.7575000000000001,1.331,3.63748804658597,1
Ag2CuScCl6,Ag,Cu,Sc,Cl,1.521,0.774,0.741,0.7575000000000001,1.806,4.2645507528565965,1
Ag2CuScBr6,Ag,Cu,Sc,Br,1.521,0.774,0.741,0.7575000000000001,1.955,4.461250422823594,1
Ag2CuScI6,Ag,Cu,Sc,I,1.521,0.774,0.741,0.7575000000000001,2.194,4.776761973978709,1
Ag2CuTiF6,Ag,Cu,Ti,F,1.521,0.774,0.673,0.7235,1.331,3.669030625502848,1
Ag2CuTiCl6,Ag,Cu,Ti,Cl,1.521,0.774,0.673,0.7235,1.806,4.325561378785502,1
Ag2CuTiBr6,Ag,Cu,Ti,Br,1.521,0.774,0.673,0.7235,1.955,4.531504709815218,1
Ag2CuTiI6,Ag,Cu,Ti,I,1.521,0.774,0.673,0.7235,2.194,4.861843341466912,1
Ag2CuVF6,Ag,Cu,V,F,1.521,0.774,0.636,0.7050000000000001,1.331,3.6937376314628594,1
Ag2CuVCl6,Ag,Cu,V,Cl,1.521,0.774,0.636,0.7050000000000001,1.806,4.3674964967110865,1
Ag2CuVBr6,Ag,Cu,V,Br,1.521,0.774,0.636,0.7050000000000001,1.955,4.578844014441582,1
Ag2CuVI6,Ag,Cu,V,I,1.521,0.774,0.636,0.7050000000000001,2.194,4.917851106640164,1
Ag2CuCrF6,Ag,Cu,Cr,F,1.521,0.774,0.618,0.696,1.331,3.707724109066028,1
Ag2CuCrCl6,Ag,Cu,Cr,Cl,1.521,0.774,0.618,0.696,1.806,4.390195373433844,1
Ag2CuCrBr6,Ag,Cu,Cr,Br,1.521,0.774,0.618,0.696,1.955,4.6042758332039595,1
Ag2CuCrI6,Ag,Cu,Cr,I,1.521,0.774,0.618,0.696,2.194,4.94766663780166,1
Ag2CuMnF6,Ag,Cu,Mn,F,1.521,0.774,0.645,0.7095,1.331,3.6872302099914274,1
Ag2CuMnCl6,Ag,Cu,Mn,Cl,1.521,0.774,0.645,0.7095,1.806,4.356715763197911,1
Ag2CuMnBr6,Ag,Cu,Mn,Br,1.521,0.774,0.645,0.7095,1.955,4.5667228104142605,1
Ag2CuMnI6,Ag,Cu,Mn,I,1.521,0.774,0.645,0.7095,2.194,4.903579751922365,1
Ag2CuFeF6,Ag,Cu,Fe,F,1.521,0.774,0.646,0.71,1.331,3.6865270236879506,1
Ag2CuFeCl6,Ag,Cu,Fe,Cl,1.521,0.774,0.646,0.71,1.806,4.355541108194993,1
Ag2CuFeBr6,Ag,Cu,Fe,Br,1.521,0.774,0.646,0.71,1.955,4.5654002631245705,1
Ag2CuFeI6,Ag,Cu,Fe,I,1.521,0.774,0.646,0.71,2.194,4.90201998143443,1
Ag2CuCoF6,Ag,Cu,Co,F,1.521,0.774,0.612,0.6930000000000001,1.331,3.7126765448998107,1
Ag2CuCoCl6,Ag,Cu,Co,Cl,1.521,0.774,0.612,0.6930000000000001,1.806,4.398102230325496,1
Ag2CuCoBr6,Ag,Cu,Co,Br,1.521,0.774,0.612,0.6930000000000001,1.955,4.613109445332711,1
Ag2CuCoI6,Ag,Cu,Co,I,1.521,0.774,0.612,0.6930000000000001,2.194,4.957986790210056,1
Ag2CuNiF6,Ag,Cu,Ni,F,1.521,0.774,0.601,0.6875,1.331,3.7221365149107464,1
Ag2CuNiCl6,Ag,Cu,Ni,Cl,1.521,0.774,0.601,0.6875,1.806,4.413045605819837,1
Ag2CuNiBr6,Ag,Cu,Ni,Br,1.521,0.774,0.601,0.6875,1.955,4.62977287854711,1
Ag2CuNiI6,Ag,Cu,Ni,I,1.521,0.774,0.601,0.6875,2.194,4.977409242183473,1
Ag2CuGaF6,Ag,Cu,Ga,F,1.521,0.774,0.62,0.6970000000000001,1.331,3.706105684368149,1
Ag2CuGaCl6,Ag,Cu,Ga,Cl,1.521,0.774,0.62,0.6970000000000001,1.806,4.387597793406886,1
Ag2CuGaBr6,Ag,Cu,Ga,Br,1.521,0.774,0.62,0.6970000000000001,1.955,4.601371107610617,1
Ag2CuGaI6,Ag,Cu,Ga,I,1.521,0.774,0.62,0.6970000000000001,2.194,4.944269242474318,1
Ag2CuAsF6,Ag,Cu,As,F,1.521,0.774,0.583,0.6785,1.331,3.73868943061567,1
Ag2CuAsCl6,Ag,Cu,As,Cl,1.521,0.774,0.583,0.6785,1.806,4.438763122583246,1
Ag2CuAsBr6,Ag,Cu,As,Br,1.521,0.774,0.583,0.6785,1.955,4.658365185958338,1
Ag2CuAsI6,Ag,Cu,As,I,1.521,0.774,0.583,0.6785,2.194,5.010612790969391,1
Ag2CuYF6,Ag,Cu,Y,F,1.521,0.774,0.899,0.8365,1.331,3.6322981445053397,1
Ag2CuYCl6,Ag,Cu,Y,Cl,1.521,0.774,0.899,0.8365,1.806,4.200140344146703,1
Ag2CuYBr6,Ag,Cu,Y,Br,1.521,0.774,0.899,0.8365,1.955,4.37826347624473,1
Ag2CuYI6,Ag,Cu,Y,I,1.521,0.774,0.899,0.8365,2.194,4.663977761959016,1
Ag2CuNbF6,Ag,Cu,Nb,F,1.521,0.774,0.724,0.749,1.331,3.643711078956468,1
Ag2CuNbCl6,Ag,Cu,Nb,Cl,1.521,0.774,0.724,0.749,1.806,4.27788998416341,1
Ag2CuNbBr6,Ag,Cu,Nb,Br,1.521,0.774,0.724,0.749,1.955,4.4768218933756945,1
Ag2CuNbI6,Ag,Cu,Nb,I,1.521,0.774,0.724,0.749,2.194,4.795914016206135,1
Ag2CuMoF6,Ag,Cu,Mo,F,1.521,0.774,0.691,0.7324999999999999,1.331,3.658948417641951,1
Ag2CuMoCl6,Ag,Cu,Mo,Cl,1.521,0.774,0.691,0.7324999999999999,1.806,4.307412581464476,1
Ag2CuMoBr6,Ag,Cu,Mo,Br,1.521,0.774,0.691,0.7324999999999999,1.955,4.510825550747753,1
Ag2CuMoI6,Ag,Cu,Mo,I,1.521,0.774,0.691,0.7324999999999999,2.194,4.837105414228981,1
Ag2CuRuF6,Ag,Cu,Ru,F,1.521,0.774,0.676,0.7250000000000001,1.331,3.6672628359998205,1
Ag2CuRuCl6,Ag,Cu,Ru,Cl,1.521,0.774,0.676,0.7250000000000001,1.806,4.322435249792925,1
Ag2CuRuBr6,Ag,Cu,Ru,Br,1.521,0.774,0.676,0.7250000000000001,1.955,4.527952491172234,1
Ag2CuRuI6,Ag,Cu,Ru,I,1.521,0.774,0.676,0.7250000000000001,2.194,4.857607663586027,1
Ag2CuRhF6,Ag,Cu,Rh,F,1.521,0.774,0.672,0.7230000000000001,1.331,3.6696276842826503,1
Ag2CuRhCl6,Ag,Cu,Rh,Cl,1.521,0.774,0.672,0.7230000000000001,1.806,4.326612469898141,1
Ag2CuRhBr6,Ag,Cu,Rh,Br,1.521,0.774,0.672,0.7230000000000001,1.955,4.532698223701738,1
Ag2CuRhI6,Ag,Cu,Rh,I,1.521,0.774,0.672,0.7230000000000001,2.194,4.863265305306163,1
Ag2CuPdF6,Ag,Cu,Pd,F,1.521,0.774,0.851,0.8125,1.331,3.623764646788789,1
Ag2CuPdCl6,Ag,Cu,Pd,Cl,1.521,0.774,0.851,0.8125,1.806,4.2083800314041735,1
Ag2CuPdBr6,Ag,Cu,Pd,Br,1.521,0.774,0.851,0.8125,1.955,4.39176464678879,1
Ag2CuPdI6,Ag,Cu,Pd,I,1.521,0.774,0.851,0.8125,2.194,4.685918492942635,1
Ag2CuInF6,Ag,Cu,In,F,1.521,0.774,0.795,0.7845,1.331,3.625005535216518,1
Ag2CuInCl6,Ag,Cu,In,Cl,1.521,0.774,0.795,0.7845,1.806,4.230486733431942,1
Ag2CuInBr6,Ag,Cu,In,Br,1.521,0.774,0.795,0.7845,1.955,4.420416625082675,1
Ag2CuInI6,Ag,Cu,In,I,1.521,0.774,0.795,0.7845,2.194,4.725069270079488,1
Ag2CuSbF6,Ag,Cu,Sb,F,1.521,0.774,0.861,0.8175,1.331,3.6248058375288705,1
Ag2CuSbCl6,Ag,Cu,Sb,Cl,1.521,0.774,0.861,0.8175,1.806,4.205845592880553,1
Ag2CuSbBr6,Ag,Cu,Sb,Br,1.521,0.774,0.861,0.8175,1.955,4.3881085898224494,1
Ag2CuSbI6,Ag,Cu,Sb,I,1.521,0.774,0.861,0.8175,2.194,4.680463329883611,1
Ag2CuTaF6,Ag,Cu,Ta,F,1.521,0.774,0.726,0.75,1.331,3.642921746374667,1
Ag2CuTaCl6,Ag,Cu,Ta,Cl,1.521,0.774,0.726,0.75,1.806,4.276255079708,1
Ag2CuTaBr6,Ag,Cu,Ta,Br,1.521,0.774,0.726,0.75,1.955,4.474921746374667,1
Ag2CuTaI6,Ag,Cu,Ta,I,1.521,0.774,0.726,0.75,2.194,4.793588413041333,1
Ag2CuIrF6,Ag,Cu,Ir,F,1.521,0.774,0.687,0.7305,1.331,3.6610803103465996,1
Ag2CuIrCl6,Ag,Cu,Ir,Cl,1.521,0.774,0.687,0.7305,1.806,4.311319872290474,1
Ag2CuIrBr6,Ag,Cu,Ir,Br,1.521,0.774,0.687,0.7305,1.955,4.515289755931816,1
Ag2CuIrI6,Ag,Cu,Ir,I,1.521,0.774,0.687,0.7305,2.194,4.842462924994101,1
Ag2CuAuF6,Ag,Cu,Au,F,1.521,0.774,0.842,0.808,1.331,3.623156308155561,1
Ag2CuAuCl6,Ag,Cu,Au,Cl,1.521,0.774,0.842,0.808,1.806,4.211027595284274,1
Ag2CuAuBr6,Ag,Cu,Au,Br,1.521,0.774,0.842,0.808,1.955,4.395433535878333,1
Ag2CuAuI6,Ag,Cu,Au,I,1.521,0.774,0.842,0.808,2.194,4.691225615086254,1
Ag2CuTlF6,Ag,Cu,Tl,F,1.521,0.774,0.884,0.829,1.331,3.628668260016918,1
Ag2CuTlCl6,Ag,Cu,Tl,Cl,1.521,0.774,0.884,0.829,1.806,4.201647753382419,1
Ag2CuTlBr6,Ag,Cu,Tl,Br,1.521,0.774,0.884,0.829,1.955,4.381382373406544,1
Ag2CuTlI6,Ag,Cu,Tl,I,1.521,0.774,0.884,0.829,2.194,4.669681529015712,1
Ag2CuBiF6,Ag,Cu,Bi,F,1.521,0.774,1.03,0.902,1.331,3.702833606387159,1
Ag2CuBiCl6,Ag,Cu,Bi,Cl,1.521,0.774,1.03,0.902,1.806,4.229441145189821,1
Ag2CuBiBr6,Ag,Cu,Bi,Br,1.521,0.774,1.03,0.902,1.955,4.394629615256338,1
Ag2CuBiI6,Ag,Cu,Bi,I,1.521,0.774,1.03,0.902,2.194,4.659596355832836,1
Ag2CuLaF6,Ag,Cu,La,F,1.521,0.774,1.032,0.903,1.331,3.7044762029905547,1
Ag2CuLaCl6,Ag,Cu,La,Cl,1.521,0.774,1.032,0.903,1.806,4.2305005662242205,1
Ag2CuLaBr6,Ag,Cu,La,Br,1.521,0.774,1.032,0.903,1.955,4.395506103322781,1
Ag2CuLaI6,Ag,Cu,La,I,1.521,0.774,1.032,0.903,2.194,4.66017941450772,1
Ag2CuCeF6,Ag,Cu,Ce,F,1.521,0.774,1.01,0.892,1.331,3.6873816874980143,1
