A_Density,B_Density,C_Density,X_Density,A_dipole Polarizability,B_dipole Polarizability,C_dipole Polarizability,X_dipole Polarizability,A_covalent Radius,B_covalent Radius,C_covalent Radius,X_covalent Radius,A_atomic Radius,B_atomic Radius,C_atomic Radius,X_atomic Radius,A_FirstIonization,B_FirstIonization,C_FirstIonization,X_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,C_number of Valence Electrons,X_number of Valence Electrons,A_number,B_number,C_number,X_number,A_Period,B_Period,C_Period,X_Period,A_Electronegativity,B_Electronegativity,C_Electronegativity,X_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,C_number of s+p Electrons,X_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,C_number of d Electrons,X_number of d Electrons,A_Mulliken EN,B_Mulliken EN,C_Mulliken EN,X_Mulliken EN,A-B_Density,A-C_Density,(A+B+C)-X_Density,A-B_dipole Polarizability,A-C_dipole Polarizability,(A+B+C)-X_dipole Polarizability,A-B_covalent Radius,A-C_covalent Radius,(A+B+C)-X_covalent Radius,A-B_atomic Radius,A-C_atomic Radius,(A+B+C)-X_atomic Radius,A-B_FirstIonization,A-C_FirstIonization,(A+B+C)-X_FirstIonization,A-B_number of Valence Electrons,A-C_number of Valence Electrons,(A+B+C)-X_number of Valence Electrons,A-B_number,A-C_number,(A+B+C)-X_number,A-B_Period,A-C_Period,(A+B+C)-X_Period,A-B_Electronegativity,A-C_Electronegativity,(A+B+C)-X_Electronegativity,A-B_number of s+p Electrons,A-C_number of s+p Electrons,(A+B+C)-X_number of s+p Electrons,A-B_number of d Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-B_Mulliken EN,A-C_Mulliken EN,(A+B+C)-X_Mulliken EN
3.74,10.5,22.6,0.010199999999999999,801.8,55.0,54.0,22.44,464,128,122,384,5.2,1.6,1.35,3.0,751.4,731.0,880.0,10086.0,2,11,9,42,110,47,77,54,12,5,6,12,1.58,1.93,2.2,23.88,2,1,2,42,0,10,7,0,4.36,4.44,5.4,62.46,6.76,18.86,36.829800000000006,746.8,747.8,888.3599999999999,336,342,330,3.6,3.85,5.15,20.399999999999977,128.60000000000002,7723.6,9,7,20,63,33,180,7,6,11,0.34999999999999987,0.6200000000000001,18.169999999999998,1,0,37,10,7,17,0.08000000000000007,1.04,48.26
3.74,10.5,10.2,18.72,801.8,55.0,87.0,126.0,464,128,138,684,5.2,1.6,1.45,6.8999999999999995,751.4,731.0,684.3,6839.400000000001,2,11,6,42,110,47,42,210,12,5,5,24,1.58,1.93,2.16,17.759999999999998,2,1,1,42,0,10,5,0,4.36,4.44,3.9,45.54,6.76,6.459999999999999,5.719999999999999,746.8,714.8,817.8,336,326,46,3.6,3.75,1.3500000000000005,20.399999999999977,67.10000000000002,4672.700000000001,9,4,23,63,68,11,7,7,2,0.34999999999999987,0.5800000000000001,12.089999999999998,1,1,38,10,5,15,0.08000000000000007,0.4600000000000004,32.839999999999996
3.74,10.5,10.2,0.01926,801.8,55.0,87.0,87.6,464,128,138,594,5.2,1.6,1.45,6.0,751.4,731.0,684.3,7507.200000000001,2,11,6,42,110,47,42,102,12,5,5,18,1.58,1.93,2.16,18.96,2,1,1,42,0,10,5,0,4.36,4.44,3.9,49.800000000000004,6.76,6.459999999999999,24.42074,746.8,714.8,856.1999999999999,336,326,136,3.6,3.75,2.25,20.399999999999977,67.10000000000002,5340.500000000001,9,4,23,63,68,97,7,7,4,0.34999999999999987,0.5800000000000001,13.290000000000001,1,1,38,10,5,15,0.08000000000000007,0.4600000000000004,37.1
3.74,10.5,10.2,0.010199999999999999,801.8,55.0,87.0,22.44,464,128,138,384,5.2,1.6,1.45,3.0,751.4,731.0,684.3,10086.0,2,11,6,42,110,47,42,54,12,5,5,12,1.58,1.93,2.16,23.88,2,1,1,42,0,10,5,0,4.36,4.44,3.9,62.46,6.76,6.459999999999999,24.429799999999997,746.8,714.8,921.3599999999999,336,326,346,3.6,3.75,5.25,20.399999999999977,67.10000000000002,7919.3,9,4,23,63,68,145,7,7,10,0.34999999999999987,0.5800000000000001,18.21,1,1,38,10,5,15,0.08000000000000007,0.4600000000000004,49.76
3.74,10.5,6.69,18.72,801.8,55.0,43.0,126.0,464,128,140,684,5.2,1.6,1.45,6.8999999999999995,751.4,731.0,834.0,6839.400000000001,2,11,5,42,110,47,51,210,12,5,5,24,1.58,1.93,2.05,17.759999999999998,2,1,5,42,0,10,10,0,4.36,4.44,4.85,45.54,6.76,2.95,2.210000000000001,746.8,758.8,773.8,336,324,48,3.6,3.75,1.3500000000000005,20.399999999999977,82.60000000000002,4523.0,9,3,24,63,59,2,7,7,2,0.34999999999999987,0.46999999999999975,12.2,1,3,34,10,10,20,0.08000000000000007,0.4899999999999993,31.89
3.74,10.5,6.69,0.01926,801.8,55.0,43.0,87.6,464,128,140,594,5.2,1.6,1.45,6.0,751.4,731.0,834.0,7507.200000000001,2,11,5,42,110,47,51,102,12,5,5,18,1.58,1.93,2.05,18.96,2,1,5,42,0,10,10,0,4.36,4.44,4.85,49.800000000000004,6.76,2.95,20.91074,746.8,758.8,812.1999999999999,336,324,138,3.6,3.75,2.25,20.399999999999977,82.60000000000002,5190.800000000001,9,3,24,63,59,106,7,7,4,0.34999999999999987,0.46999999999999975,13.400000000000002,1,3,34,10,10,20,0.08000000000000007,0.4899999999999993,36.150000000000006
3.74,10.5,6.69,0.010199999999999999,801.8,55.0,43.0,22.44,464,128,140,384,5.2,1.6,1.45,3.0,751.4,731.0,834.0,10086.0,2,11,5,42,110,47,51,54,12,5,5,12,1.58,1.93,2.05,23.88,2,1,5,42,0,10,10,0,4.36,4.44,4.85,62.46,6.76,2.95,20.9198,746.8,758.8,877.3599999999999,336,324,348,3.6,3.75,5.25,20.399999999999977,82.60000000000002,7769.6,9,3,24,63,59,154,7,7,10,0.34999999999999987,0.46999999999999975,18.32,1,3,34,10,10,20,0.08000000000000007,0.4899999999999993,48.81
3.74,10.5,6.69,29.58,801.8,55.0,43.0,197.39999999999998,464,128,140,798,5.2,1.6,1.45,8.399999999999999,751.4,731.0,834.0,6050.4,2,11,5,42,110,47,51,318,12,5,5,30,1.58,1.93,2.05,15.96,2,1,5,42,0,10,10,60,4.36,4.44,4.85,40.56,6.76,2.95,8.649999999999999,746.8,758.8,702.4,336,324,66,3.6,3.75,0.14999999999999858,20.399999999999977,82.60000000000002,3733.9999999999995,9,3,24,63,59,110,7,7,8,0.34999999999999987,0.46999999999999975,10.400000000000002,1,3,34,10,10,40,0.08000000000000007,0.4899999999999993,26.910000000000004
3.74,1.54,7.29,0.01926,801.8,160.8,53.0,87.6,464,171,140,594,5.2,1.8,1.45,6.0,751.4,589.8,708.6,7507.200000000001,2,2,4,42,110,20,50,102,12,4,5,18,1.58,1.0,1.96,18.96,2,2,4,42,0,0,10,0,4.36,2.2,4.3,49.800000000000004,2.2,3.55,12.550740000000001,641.0,748.8,927.9999999999999,293,324,181,3.4000000000000004,3.75,2.4499999999999993,161.60000000000002,42.799999999999955,5457.4000000000015,0,2,34,90,60,78,8,7,3,0.5800000000000001,0.3799999999999999,14.420000000000002,0,2,34,0,10,10,2.16,0.0600000000000005,38.940000000000005
3.74,6.77,10.5,18.72,801.8,205.0,55.0,126.0,464,163,128,684,5.2,1.85,1.6,6.8999999999999995,751.4,534.4,731.0,6839.400000000001,2,3,11,42,110,58,47,210,12,6,5,24,1.58,1.12,1.93,17.759999999999998,2,2,1,42,0,1,10,0,4.36,3.1,4.44,45.54,3.0299999999999994,6.76,2.289999999999999,596.8,746.8,935.8,301,336,71,3.35,3.6,1.7500000000000009,217.0,20.399999999999977,4822.6,1,9,26,52,63,5,6,7,1,0.45999999999999996,0.34999999999999987,13.129999999999999,0,1,37,1,10,11,1.2600000000000002,0.08000000000000007,33.64
3.74,6.77,10.5,0.01926,801.8,205.0,55.0,87.6,464,163,128,594,5.2,1.85,1.6,6.0,751.4,534.4,731.0,7507.200000000001,2,3,11,42,110,58,47,102,12,6,5,18,1.58,1.12,1.93,18.96,2,2,1,42,0,1,10,0,4.36,3.1,4.44,49.800000000000004,3.0299999999999994,6.76,20.99074,596.8,746.8,974.1999999999999,301,336,161,3.35,3.6,2.6500000000000004,217.0,20.399999999999977,5490.400000000001,1,9,26,52,63,113,6,7,5,0.45999999999999996,0.34999999999999987,14.330000000000002,0,1,37,1,10,11,1.2600000000000002,0.08000000000000007,37.900000000000006
3.74,6.77,10.5,0.010199999999999999,801.8,205.0,55.0,22.44,464,163,128,384,5.2,1.85,1.6,3.0,751.4,534.4,731.0,10086.0,2,3,11,42,110,58,47,54,12,6,5,12,1.58,1.12,1.93,23.88,2,2,1,42,0,1,10,0,4.36,3.1,4.44,62.46,3.0299999999999994,6.76,20.999799999999997,596.8,746.8,1039.36,301,336,371,3.35,3.6,5.65,217.0,20.399999999999977,8069.2,1,9,26,52,63,161,6,7,11,0.45999999999999996,0.34999999999999987,19.25,0,1,37,1,10,11,1.2600000000000002,0.08000000000000007,50.56
3.74,6.77,10.5,29.58,801.8,205.0,55.0,197.39999999999998,464,163,128,798,5.2,1.85,1.6,8.399999999999999,751.4,534.4,731.0,6050.4,2,3,11,42,110,58,47,318,12,6,5,30,1.58,1.12,1.93,15.96,2,2,1,42,0,1,10,60,4.36,3.1,4.44,40.56,3.0299999999999994,6.76,8.57,596.8,746.8,864.4,301,336,43,3.35,3.6,0.2500000000000018,217.0,20.399999999999977,4033.5999999999995,1,9,26,52,63,103,6,7,7,0.45999999999999996,0.34999999999999987,11.330000000000002,0,1,37,1,10,49,1.2600000000000002,0.08000000000000007,28.66
3.74,6.77,8.96,0.01926,801.8,205.0,46.5,87.6,464,163,112,594,5.2,1.85,1.35,6.0,751.4,534.4,745.5,7507.200000000001,2,3,11,42,110,58,29,102,12,6,4,18,1.58,1.12,1.9,18.96,2,2,1,42,0,1,10,0,4.36,3.1,4.48,49.800000000000004,3.0299999999999994,5.220000000000001,19.45074,596.8,755.3,965.6999999999999,301,352,145,3.35,3.85,2.4000000000000004,217.0,5.899999999999977,5475.900000000001,1,9,26,52,81,95,6,8,4,0.45999999999999996,0.31999999999999984,14.360000000000001,0,1,37,1,10,11,1.2600000000000002,0.1200000000000001,37.86
3.74,6.77,8.96,29.58,801.8,205.0,46.5,197.39999999999998,464,163,112,798,5.2,1.85,1.35,8.399999999999999,751.4,534.4,745.5,6050.4,2,3,11,42,110,58,29,318,12,6,4,30,1.58,1.12,1.9,15.96,2,2,1,42,0,1,10,60,4.36,3.1,4.48,40.56,3.0299999999999994,5.220000000000001,10.11,596.8,755.3,855.9,301,352,59,3.35,3.85,1.7763568394002505e-15,217.0,5.899999999999977,4019.0999999999995,1,9,26,52,81,121,6,8,8,0.45999999999999996,0.31999999999999984,11.360000000000001,0,1,37,1,10,49,1.2600000000000002,0.1200000000000001,28.62
3.74,8.86,10.5,0.010199999999999999,801.8,55.0,55.0,22.44,464,111,128,384,5.2,1.35,1.6,3.0,751.4,760.4,731.0,10086.0,2,9,11,42,110,27,47,54,12,4,5,12,1.58,1.88,1.93,23.88,2,2,1,42,0,7,10,0,4.36,4.3,4.44,62.46,5.119999999999999,6.76,23.0898,746.8,746.8,889.3599999999999,353,336,319,3.85,3.6,5.15,9.0,20.399999999999977,7843.2,7,9,20,83,63,130,8,7,9,0.2999999999999998,0.34999999999999987,18.49,0,1,37,7,10,17,0.0600000000000005,0.08000000000000007,49.36
3.74,8.86,13.5,0.010199999999999999,801.8,55.0,33.91,22.44,464,111,133,384,5.2,1.35,1.5,3.0,751.4,760.4,1007.1,10086.0,2,9,12,42,110,27,80,54,12,4,6,12,1.58,1.88,2.0,23.88,2,2,2,42,0,7,10,0,4.36,4.3,4.91,62.46,5.119999999999999,9.76,26.0898,746.8,767.89,868.2699999999999,353,331,324,3.85,3.7,5.050000000000001,9.0,255.70000000000005,7567.1,7,10,19,83,30,163,8,6,10,0.2999999999999998,0.41999999999999993,18.419999999999998,0,0,36,7,10,17,0.0600000000000005,0.5499999999999998,48.89
