formula,number
Tl2NaPmBr6,1
Tl2NaSmCl6,1
Tl2NaSmBr6,1
Tl2NaEuBr6,1
Tl2NaGdCl6,1
Tl2NaGdBr6,1
Tl2NaTbCl6,1
Tl2NaTbBr6,1
Tl2NaDyCl6,1
Tl2NaDyBr6,1
Tl2NaHoCl6,1
Tl2NaHoBr6,1
Tl2NaErCl6,1
Tl2NaErBr6,1
Tl2NaTmCl6,1
Tl2NaTmBr6,1
Tl2NaYbCl6,1
Tl2NaYbBr6,1
Tl2NaLuCl6,1
Tl2NaUCl6,1
Tl2KBCl6,1
Tl2KAlCl6,1
Tl2KAlBr6,1
Tl2KPBr6,1
Tl2KTiCl6,1
Tl2KVCl6,1
Tl2KVBr6,1
Tl2KCrCl6,1
Tl2KCrBr6,1
Tl2KGaCl6,1
Tl2KGaBr6,1
Tl2KAsCl6,1
Tl2KAsBr6,1
Tl2KNbCl6,1
Tl2KMoCl6,1
Tl2KInCl6,1
Tl2KTaCl6,1
Tl2RbBCl6,1
Tl2RbBBr6,1
Tl2RbNCl6,1
Tl2RbAlCl6,1
Tl2RbPCl6,1
Tl2RbPBr6,1
Tl2RbVCl6,1
Tl2RbCrCl6,1
Tl2RbGaCl6,1
Tl2RbAsCl6,1
Tl2CsBCl6,1
Tl2CsBBr6,1
Tl2CsNCl6,1
Tl2CsNBr6,1
Tl2CsPCl6,1
Na2BePbF6,2
Na2BeTmF6,2
Na2BeYbF6,2
K2BePtF6,2
K2BePbF6,2
K2BePbCl6,2
K2BeTmF6,2
K2BeYbF6,2
K2MgPbCl6,2
K2ScGeCl6,2
K2ScInCl6,2
K2ScSnCl6,2
K2ScTmCl6,2
K2ScYbCl6,2
K2TiCdCl6,2
K2TiInCl6,2
K2TiSnCl6,2
K2TiHgF6,2
K2TiHgCl6,2
K2TiTmCl6,2
K2TiYbCl6,2
K2VInCl6,2
K2VSnCl6,2
K2VHgF6,2
K2VHgCl6,2
K2CrSnCl6,2
K2MnInCl6,2
K2FeTmCl6,2
K2FeYbCl6,2
K2CoTmCl6,2
K2NiAgCl6,2
K2NiInCl6,2
K2NiHgF6,2
K2NiLaCl6,2
K2NiTmCl6,2
K2NiYbF6,2
K2NiYbCl6,2
K2GePbCl6,2
K2GeLaCl6,2
K2AgYbF6,2
Rb2BeBaBr6,2
Rb2BePtF6,2
Rb2BePbF6,2
Rb2BePbCl6,2
Rb2BeLaBr6,2
Rb2BeCeBr6,2
Rb2BePrBr6,2
Rb2BeTmF6,2
Rb2BeYbF6,2
Rb2MgYBr6,2
Rb2MgInBr6,2
Rb2MgPbCl6,2
Rb2MgPbBr6,2
Rb2MgLaBr6,2
Rb2MgPrBr6,2
Rb2MgSmBr6,2
Rb2MgEuBr6,2
Rb2MgDyBr6,2
Rb2MgTmBr6,2
Rb2MgYbBr6,2
Rb2CaVBr6,2
Rb2CaCrBr6,2
Rb2CaNbBr6,2
Rb2CaInBr6,2
Rb2CaPbCl6,2
Rb2CaDyBr6,2
Rb2CaTmBr6,2
Rb2CaYbBr6,2
Rb2ScTiBr6,2
Rb2ScVBr6,2
Rb2ScCrBr6,2
Rb2ScMnBr6,2
Rb2ScGeCl6,2
Rb2ScYBr6,2
Rb2ScNbBr6,2
Rb2ScInCl6,2
Rb2ScInBr6,2
Rb2ScSnCl6,2
Rb2ScSnBr6,2
Rb2ScPbCl6,2
Rb2ScEuBr6,2
Rb2ScDyBr6,2
Rb2ScTmCl6,2
Rb2ScTmBr6,2
Rb2ScYbCl6,2
Rb2ScYbBr6,2
Rb2TiSrBr6,2
Rb2TiYBr6,2
Rb2TiNbBr6,2
Rb2TiPdBr6,2
Rb2TiCdCl6,2
Rb2TiInCl6,2
Rb2TiInBr6,2
Rb2TiSnCl6,2
Rb2TiSnBr6,2
Rb2TiHgF6,2
Rb2TiHgCl6,2
Rb2TiPbCl6,2
Rb2TiPbBr6,2
Rb2TiSmBr6,2
Rb2TiEuBr6,2
Rb2TiDyBr6,2
Rb2TiTmCl6,2
Rb2TiTmBr6,2
Rb2TiYbCl6,2
Rb2TiYbBr6,2
Rb2VSrBr6,2
Rb2VYBr6,2
Rb2VNbBr6,2
Rb2VInCl6,2
Rb2VInBr6,2
Rb2VSnCl6,2
Rb2VSnBr6,2
Rb2VHgF6,2
Rb2VHgCl6,2
Rb2VPbBr6,2
Rb2VLaBr6,2
Rb2VCeBr6,2
Rb2VPrBr6,2
