formula,number
K2NaLuCl6,1
K2NaUF6,1
K2NaUCl6,1
K2CuAlF6,1
K2CuPF6,1
K2CuScF6,1
K2CuTiF6,1
K2CuVF6,1
K2CuCrF6,1
K2CuMnF6,1
K2CuFeF6,1
K2CuCoF6,1
K2CuNiF6,1
K2CuGaF6,1
K2CuAsF6,1
K2CuYF6,1
K2CuYCl6,1
K2CuNbF6,1
K2CuMoF6,1
K2CuRuF6,1
K2CuRhF6,1
K2CuPdF6,1
K2CuPdCl6,1
K2CuAgF6,1
K2CuAgCl6,1
K2CuInF6,1
K2CuInCl6,1
K2CuSbF6,1
K2CuSbCl6,1
K2CuTaF6,1
K2CuIrF6,1
K2CuAuF6,1
K2CuAuCl6,1
K2CuTlF6,1
K2CuTlCl6,1
K2CuBiF6,1
K2CuBiCl6,1
K2CuLaF6,1
K2CuLaCl6,1
K2CuCeF6,1
K2CuCeCl6,1
K2CuPrF6,1
K2CuPrCl6,1
K2CuNdF6,1
K2CuNdCl6,1
K2CuPmF6,1
K2CuPmCl6,1
K2CuSmF6,1
K2CuSmCl6,1
K2CuEuF6,1
K2CuEuCl6,1
K2CuGdF6,1
K2CuGdCl6,1
K2CuTbF6,1
K2CuTbCl6,1
K2CuDyF6,1
K2CuDyCl6,1
K2CuHoF6,1
K2CuHoCl6,1
K2CuErF6,1
K2CuErCl6,1
K2CuTmF6,1
K2CuTmCl6,1
K2CuYbF6,1
K2CuYbCl6,1
K2CuLuF6,1
K2CuLuCl6,1
K2CuUF6,1
K2CuUCl6,1
K2RbBF6,1
K2RbBCl6,1
K2RbNF6,1
K2RbNCl6,1
K2RbAlF6,1
K2RbAlCl6,1
K2RbPF6,1
K2RbPCl6,1
K2RbScF6,1
K2RbTiF6,1
K2RbVF6,1
K2RbCrF6,1
K2RbMnF6,1
K2RbFeF6,1
K2RbCoF6,1
K2RbNiF6,1
K2RbCuF6,1
K2RbGaF6,1
K2RbAsF6,1
K2RbNbF6,1
K2RbMoF6,1
K2RbRuF6,1
K2RbRhF6,1
K2RbAgF6,1
K2RbTaF6,1
K2RbIrF6,1
K2AgBF6,1
K2AgNF6,1
K2AgAlF6,1
K2AgAlCl6,1
K2AgPF6,1
K2AgPCl6,1
K2AgScF6,1
K2AgScCl6,1
K2AgTiF6,1
K2AgTiCl6,1
K2AgVF6,1
K2AgVCl6,1
K2AgCrF6,1
K2AgCrCl6,1
K2AgMnF6,1
K2AgMnCl6,1
K2AgFeF6,1
K2AgFeCl6,1
K2AgCoF6,1
K2AgCoCl6,1
K2AgNiF6,1
K2AgNiCl6,1
K2AgCuF6,1
K2AgCuCl6,1
K2AgGaF6,1
K2AgGaCl6,1
K2AgAsF6,1
K2AgAsCl6,1
K2AgYF6,1
K2AgYCl6,1
K2AgNbF6,1
K2AgNbCl6,1
K2AgMoF6,1
K2AgMoCl6,1
K2AgRuF6,1
K2AgRuCl6,1
K2AgRhF6,1
K2AgRhCl6,1
K2AgPdF6,1
K2AgPdCl6,1
K2AgInF6,1
K2AgInCl6,1
K2AgSbF6,1
K2AgSbCl6,1
K2AgTaF6,1
K2AgTaCl6,1
K2AgIrF6,1
K2AgIrCl6,1
K2AgAuF6,1
K2AgAuCl6,1
K2AgTlF6,1
K2AgTlCl6,1
K2AgBiF6,1
K2AgLaF6,1
K2AgCeF6,1
K2AgPrF6,1
K2AgNdF6,1
K2AgPmF6,1
K2AgSmF6,1
K2AgEuF6,1
K2AgGdF6,1
K2AgTbF6,1
K2AgDyF6,1
K2AgDyCl6,1
K2AgHoF6,1
K2AgHoCl6,1
K2AgErF6,1
K2AgErCl6,1
K2AgTmF6,1
K2AgTmCl6,1
K2AgYbF6,1
K2AgYbCl6,1
K2AgLuF6,1
K2AgLuCl6,1
K2AgUF6,1
K2CsBF6,1
K2CsBCl6,1
K2CsNF6,1
K2CsNCl6,1
K2CsAlF6,1
K2CsPF6,1
K2CsCrF6,1
K2CsCoF6,1
K2CsNiF6,1
K2CsCuF6,1
K2CsGaF6,1
K2CsAsF6,1
K2AuBF6,1
K2AuBCl6,1
K2AuNF6,1
K2AuNCl6,1
K2AuAlF6,1
K2AuAlCl6,1
K2AuPF6,1
K2AuPCl6,1
K2AuScF6,1
K2AuTiF6,1
K2AuTiCl6,1
K2AuVF6,1
K2AuVCl6,1
K2AuCrF6,1
K2AuCrCl6,1
K2AuMnF6,1
K2AuMnCl6,1
K2AuFeF6,1
K2AuFeCl6,1
K2AuCoF6,1
K2AuCoCl6,1
K2AuNiF6,1
K2AuNiCl6,1
K2AuCuF6,1
K2AuCuCl6,1
K2AuGaF6,1
K2AuGaCl6,1
K2AuAsF6,1
K2AuAsCl6,1
K2AuYF6,1
K2AuNbF6,1
K2AuMoF6,1
K2AuMoCl6,1
K2AuRuF6,1
K2AuRuCl6,1
K2AuRhF6,1
K2AuRhCl6,1
K2AuPdF6,1
K2AuAgF6,1
K2AuInF6,1
K2AuSbF6,1
K2AuTaF6,1
K2AuIrF6,1
K2AuIrCl6,1
K2AuTlF6,1
K2AuGdF6,1
K2AuTbF6,1
K2AuDyF6,1
K2AuHoF6,1
K2AuErF6,1
K2AuTmF6,1
K2AuYbF6,1
K2AuLuF6,1
K2HgBF6,1
K2HgBCl6,1
K2HgNF6,1
K2HgNCl6,1
K2HgAlF6,1
K2HgAlCl6,1
K2HgPF6,1
K2HgPCl6,1
K2HgScF6,1
K2HgTiF6,1
K2HgTiCl6,1
K2HgVF6,1
K2HgVCl6,1
K2HgCrF6,1
K2HgCrCl6,1
K2HgMnF6,1
K2HgMnCl6,1
K2HgFeF6,1
K2HgFeCl6,1
K2HgCoF6,1
K2HgCoCl6,1
K2HgNiF6,1
K2HgNiCl6,1
K2HgCuF6,1
K2HgCuCl6,1
K2HgGaF6,1
K2HgGaCl6,1
K2HgAsF6,1
K2HgAsCl6,1
K2HgYF6,1
K2HgNbF6,1
K2HgMoF6,1
K2HgMoCl6,1
K2HgRuF6,1
K2HgRuCl6,1
K2HgRhF6,1
K2HgRhCl6,1
K2HgPdF6,1
K2HgAgF6,1
K2HgInF6,1
K2HgSbF6,1
K2HgTaF6,1
K2HgIrF6,1
K2HgIrCl6,1
K2HgAuF6,1
K2HgTlF6,1
K2HgTbF6,1
K2HgDyF6,1
K2HgHoF6,1
K2HgErF6,1
K2HgTmF6,1
K2HgYbF6,1
K2HgLuF6,1
K2TlBF6,1
K2TlBCl6,1
K2TlNF6,1
K2TlNCl6,1
K2TlAlF6,1
K2TlAlCl6,1
K2TlPF6,1
K2TlPCl6,1
K2TlScF6,1
K2TlTiF6,1
K2TlVF6,1
K2TlCrF6,1
K2TlMnF6,1
K2TlFeF6,1
K2TlCoF6,1
K2TlNiF6,1
K2TlCuF6,1
K2TlGaF6,1
K2TlAsF6,1
K2TlNbF6,1
K2TlMoF6,1
K2TlRuF6,1
K2TlRhF6,1
K2TlAgF6,1
K2TlInF6,1
K2TlTaF6,1
K2TlIrF6,1
Rb2LiAlF6,1
Rb2LiPF6,1
Rb2LiScF6,1
Rb2LiScCl6,1
Rb2LiTiF6,1
Rb2LiVF6,1
Rb2LiCrF6,1
Rb2LiMnF6,1
Rb2LiFeF6,1
Rb2LiCoF6,1
Rb2LiNiF6,1
Rb2LiCuF6,1
Rb2LiGaF6,1
Rb2LiAsF6,1
Rb2LiYF6,1
Rb2LiYCl6,1
Rb2LiNbF6,1
Rb2LiMoF6,1
Rb2LiRuF6,1
Rb2LiRhF6,1
Rb2LiPdF6,1
Rb2LiPdCl6,1
Rb2LiAgF6,1
Rb2LiAgCl6,1
Rb2LiInF6,1
Rb2LiInCl6,1
Rb2LiSbF6,1
Rb2LiSbCl6,1
Rb2LiTaF6,1
Rb2LiIrF6,1
Rb2LiAuF6,1
Rb2LiAuCl6,1
Rb2LiTlF6,1
Rb2LiTlCl6,1
Rb2LiBiF6,1
Rb2LiBiCl6,1
Rb2LiBiBr6,1
Rb2LiLaF6,1
Rb2LiLaCl6,1
Rb2LiLaBr6,1
Rb2LiCeF6,1
Rb2LiCeCl6,1
Rb2LiCeBr6,1
Rb2LiPrF6,1
Rb2LiPrCl6,1
Rb2LiPrBr6,1
Rb2LiNdF6,1
Rb2LiNdCl6,1
Rb2LiNdBr6,1
Rb2LiPmF6,1
Rb2LiPmCl6,1
Rb2LiPmBr6,1
Rb2LiSmF6,1
Rb2LiSmCl6,1
Rb2LiSmBr6,1
Rb2LiEuF6,1
Rb2LiEuCl6,1
Rb2LiEuBr6,1
Rb2LiGdF6,1
Rb2LiGdCl6,1
Rb2LiGdBr6,1
Rb2LiTbF6,1
Rb2LiTbCl6,1
Rb2LiDyF6,1
Rb2LiDyCl6,1
Rb2LiHoF6,1
Rb2LiHoCl6,1
Rb2LiErF6,1
Rb2LiErCl6,1
Rb2LiTmF6,1
Rb2LiTmCl6,1
Rb2LiYbF6,1
Rb2LiYbCl6,1
Rb2LiLuF6,1
Rb2LiLuCl6,1
Rb2LiUF6,1
