B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
10.5,36.0,1.35,79.0,2.0,1.0,15.56,766.8,1.2500000000000009,18.0,31.0,7.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
10.5,87.0,1.45,42.0,2.0,1.0,6.459999999999999,856.1999999999999,2.25,23.0,68.0,7.0,0.5800000000000001,1.0,5.0,15.0,0.4600000000000004,0
10.5,43.0,1.45,51.0,2.0,5.0,2.95,773.8,1.3500000000000003,24.0,59.0,7.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,1
10.5,43.0,1.45,51.0,2.0,5.0,2.95,812.1999999999999,2.25,24.0,59.0,7.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,1
1.54,53.0,1.45,50.0,2.0,4.0,3.55,928.0,2.4499999999999997,34.0,60.0,8.0,0.3799999999999999,2.0,10.0,10.0,0.0600000000000005,1
6.77,46.5,1.35,29.0,2.0,1.0,5.220000000000001,855.9,1.7763568394002505e-15,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,49.0,0.1200000000000001,0
8.96,87.0,1.45,42.0,2.0,1.0,6.459999999999999,737.9,0.3999999999999986,23.0,68.0,8.0,0.5800000000000001,1.0,5.0,45.0,0.4600000000000004,0
8.96,43.0,1.45,51.0,2.0,5.0,2.95,693.9,0.3999999999999986,24.0,59.0,8.0,0.4699999999999997,3.0,10.0,40.0,0.4899999999999993,0
8.55,46.5,1.35,29.0,2.0,1.0,5.220000000000001,923.7,2.3000000000000007,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,10.0,0.1200000000000001,0
5.24,55.0,1.6,47.0,2.0,1.0,6.76,953.2,2.6500000000000004,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,10.0,0.08,0
5.24,46.5,1.35,29.0,2.0,1.0,5.220000000000001,944.7,2.4000000000000004,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,10.0,0.1200000000000001,0
13.5,30.0,1.15,33.0,2.0,5.0,2.04,778.1099999999999,1.85,23.0,77.0,6.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,0
13.5,43.0,1.45,51.0,2.0,5.0,2.95,791.1099999999999,2.1500000000000004,23.0,59.0,6.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
7.31,55.0,1.6,47.0,2.0,1.0,6.76,899.3599999999999,5.35,26.0,63.0,7.0,0.3499999999999998,1.0,10.0,20.0,0.08,1
7.31,55.0,1.6,47.0,2.0,1.0,6.76,724.4,0.0499999999999989,26.0,63.0,7.0,0.3499999999999998,1.0,10.0,40.0,0.08,0
7.31,46.5,1.35,29.0,2.0,1.0,5.220000000000001,825.6999999999999,2.1,26.0,81.0,7.0,0.3199999999999998,1.0,10.0,20.0,0.1200000000000001,0
7.31,33.91,1.5,80.0,2.0,2.0,9.76,813.1099999999999,2.25,25.0,30.0,7.0,0.4199999999999999,0.0,10.0,20.0,0.5499999999999998,0
0.862,57.8,1.25,13.0,2.0,3.0,1.04,1061.7,2.6500000000000004,36.0,97.0,8.0,0.03,1.0,0.0,0.0,1.1300000000000003,0
0.862,57.8,1.25,13.0,2.0,3.0,1.04,951.9,0.2500000000000018,36.0,97.0,8.0,0.03,1.0,0.0,60.0,1.1300000000000003,0
0.862,36.0,1.35,79.0,2.0,1.0,15.56,1039.9,2.75,28.0,31.0,8.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
0.862,48.0,1.6,83.0,2.0,5.0,6.07,1117.06,6.0,34.0,27.0,8.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
0.862,205.0,1.85,58.0,2.0,2.0,3.03,1208.9,3.25,36.0,52.0,8.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
0.862,83.0,1.4,24.0,2.0,1.0,3.41,1152.06,5.800000000000001,33.0,86.0,8.0,0.0799999999999998,1.0,5.0,5.0,0.6400000000000001,1
0.862,150.0,1.75,68.0,2.0,2.0,5.33,1153.9,3.1500000000000004,36.0,42.0,8.0,0.3400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.862,50.0,1.3,31.0,2.0,3.0,2.17,1015.5,1.8000000000000016,36.0,79.0,8.0,0.2299999999999999,1.0,0.0,0.0,1.16,0
0.862,50.0,1.3,31.0,2.0,3.0,2.17,1053.9,2.700000000000001,36.0,79.0,8.0,0.2299999999999999,1.0,0.0,0.0,1.16,0
0.862,215.0,1.95,57.0,2.0,2.0,2.41,1218.9,3.35,36.0,53.0,8.0,0.48,0.0,1.0,1.0,1.2600000000000002,1
0.862,87.0,1.45,42.0,2.0,1.0,6.459999999999999,1156.06,5.85,33.0,68.0,8.0,0.5800000000000001,1.0,5.0,5.0,0.4600000000000004,1
0.862,43.0,1.45,51.0,2.0,5.0,2.95,1008.5,1.95,34.0,59.0,8.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,0
0.862,43.0,1.45,51.0,2.0,5.0,2.95,937.1,0.450000000000001,34.0,59.0,8.0,0.4699999999999997,3.0,10.0,50.0,0.4899999999999993,0
0.862,170.0,1.75,65.0,2.0,2.0,4.49,1173.9,3.1500000000000004,36.0,45.0,8.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.862,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1056.1,0.8000000000000025,36.0,71.0,8.0,0.3600000000000001,0.0,1.0,59.0,1.1700000000000004,1
0.534,205.0,1.85,58.0,2.0,2.0,3.03,1148.4725,5.5,36.0,52.0,10.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
0.534,205.0,1.85,58.0,2.0,2.0,3.03,973.5125,0.1000000000000014,36.0,52.0,10.0,0.4599999999999999,0.0,1.0,59.0,1.2600000000000002,1
0.534,158.0,1.8,64.0,2.0,2.0,4.16,1036.3125,2.450000000000001,36.0,46.0,10.0,0.3800000000000001,0.0,1.0,1.0,1.2600000000000002,1
0.534,215.0,1.95,57.0,2.0,2.0,2.41,1054.9125,1.7000000000000002,36.0,53.0,10.0,0.48,0.0,1.0,1.0,1.2600000000000002,1
0.534,208.0,1.85,60.0,2.0,2.0,3.27,1047.9125,1.6000000000000003,36.0,50.0,10.0,0.4400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.534,26.14,1.4,46.0,2.0,0.0,8.26,969.6124999999998,5.050000000000001,29.0,64.0,10.0,0.6200000000000001,2.0,10.0,10.0,0.0899999999999998,0
0.534,216.0,1.85,59.0,2.0,2.0,3.03,1159.4725,5.5,36.0,51.0,10.0,0.4500000000000002,0.0,0.0,0.0,1.2600000000000002,0
0.534,43.0,1.45,51.0,2.0,5.0,2.95,882.9124999999999,1.2000000000000002,34.0,59.0,10.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,0
0.534,74.0,1.45,73.0,2.0,2.0,12.96,842.5124999999999,0.2999999999999989,34.0,37.0,10.0,0.08,0.0,3.0,57.0,0.25,0
