B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
10.5,30.0,1.15,33.0,2.0,5.0,2.04,864.3599999999999,4.950000000000001,24.0,77.0,7.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,0
10.5,48.0,1.6,83.0,2.0,5.0,6.07,778.8,1.5000000000000009,24.0,27.0,7.0,0.4399999999999999,3.0,10.0,20.0,0.33,1
10.5,54.0,1.35,77.0,2.0,2.0,18.86,888.3599999999999,5.15,20.0,33.0,7.0,0.6200000000000001,0.0,7.0,17.0,1.04,0
6.77,55.0,1.6,47.0,2.0,1.0,6.76,935.8,1.7500000000000009,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,11.0,0.08,1
8.96,36.0,1.35,79.0,2.0,1.0,15.56,861.8599999999999,4.9,18.0,31.0,8.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
8.96,87.0,1.45,42.0,2.0,1.0,6.459999999999999,809.3,1.1000000000000003,23.0,68.0,8.0,0.5800000000000001,1.0,5.0,15.0,0.4600000000000004,0
13.5,30.0,1.15,33.0,2.0,5.0,2.04,668.31,0.5499999999999989,23.0,77.0,6.0,0.6000000000000001,3.0,0.0,50.0,0.9399999999999996,0
13.5,87.0,1.45,42.0,2.0,1.0,6.459999999999999,900.2699999999999,5.15,22.0,68.0,6.0,0.5800000000000001,1.0,5.0,15.0,0.4600000000000004,1
13.5,43.0,1.45,51.0,2.0,5.0,2.95,752.7099999999999,1.2500000000000009,23.0,59.0,6.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
7.31,46.5,1.35,29.0,2.0,1.0,5.220000000000001,890.8599999999999,5.1,26.0,81.0,7.0,0.3199999999999998,1.0,10.0,20.0,0.1200000000000001,0
7.31,33.91,1.5,80.0,2.0,2.0,9.76,878.2699999999999,5.25,25.0,30.0,7.0,0.4199999999999999,0.0,10.0,20.0,0.5499999999999998,0
7.31,33.91,1.5,80.0,2.0,2.0,9.76,703.31,0.1499999999999985,25.0,30.0,7.0,0.4199999999999999,0.0,10.0,40.0,0.5499999999999998,0
0.862,30.0,1.15,33.0,2.0,5.0,2.04,1033.9,2.5500000000000007,34.0,77.0,8.0,0.6000000000000001,3.0,0.0,0.0,0.9399999999999996,0
0.862,30.0,1.15,33.0,2.0,5.0,2.04,1099.06,5.550000000000001,34.0,77.0,8.0,0.6000000000000001,3.0,0.0,0.0,0.9399999999999996,1
0.862,36.0,1.35,79.0,2.0,1.0,15.56,1001.5,1.8500000000000003,28.0,31.0,8.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
0.862,205.0,1.85,58.0,2.0,2.0,3.03,1170.5,2.3500000000000005,36.0,52.0,8.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
0.862,46.5,1.35,29.0,2.0,1.0,5.220000000000001,1115.56,5.75,28.0,81.0,8.0,0.3199999999999998,1.0,10.0,10.0,0.1200000000000001,1
0.862,50.0,1.3,31.0,2.0,3.0,2.17,944.1,0.3000000000000025,36.0,79.0,8.0,0.2299999999999999,1.0,0.0,60.0,1.16,0
0.862,158.0,1.8,64.0,2.0,2.0,4.16,1161.9,3.200000000000001,36.0,46.0,8.0,0.3800000000000001,0.0,1.0,1.0,1.2600000000000002,1
0.862,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,1134.06,5.950000000000001,36.0,61.0,8.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.862,208.0,1.85,60.0,2.0,2.0,3.27,1211.9,3.25,36.0,50.0,8.0,0.4400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.862,216.0,1.85,59.0,2.0,2.0,3.03,1181.5,2.3500000000000005,36.0,51.0,8.0,0.4500000000000002,0.0,0.0,0.0,1.2600000000000002,1
0.862,43.0,1.45,51.0,2.0,5.0,2.95,1046.9,2.85,34.0,59.0,8.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,1
0.862,43.0,1.45,51.0,2.0,5.0,2.95,1112.06,5.85,34.0,59.0,8.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,0
0.862,97.0,1.6,21.0,2.0,2.0,0.75,1100.9,3.0,36.0,89.0,8.0,0.2199999999999999,0.0,1.0,1.0,1.0200000000000005,1
0.862,50.0,1.9,81.0,2.0,3.0,8.16,1015.5,2.400000000000001,36.0,29.0,8.0,0.4599999999999999,1.0,10.0,10.0,1.16,0
0.862,144.0,1.75,69.0,2.0,2.0,5.58,1147.9,3.1500000000000004,36.0,41.0,8.0,0.33,0.0,0.0,0.0,1.2600000000000002,1
0.862,87.0,1.35,23.0,2.0,2.0,2.37,1156.06,5.75,34.0,87.0,8.0,0.0499999999999998,0.0,3.0,3.0,0.7600000000000002,1
0.862,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1165.9,3.200000000000001,36.0,71.0,8.0,0.3600000000000001,0.0,1.0,1.0,1.1700000000000004,1
0.534,215.0,1.95,57.0,2.0,2.0,2.41,1093.3125,2.6,36.0,53.0,10.0,0.48,0.0,1.0,1.0,1.2600000000000002,1
0.534,87.0,1.45,42.0,2.0,1.0,6.459999999999999,855.5124999999999,0.2999999999999989,33.0,68.0,10.0,0.5800000000000001,1.0,5.0,55.0,0.4600000000000004,0
