B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
6.15,55.0,1.6,47.0,2.0,1.0,6.76,984.2,2.75,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,11.0,0.08,1
0.534,36.0,1.35,79.0,2.0,1.0,15.56,914.3125,2.0,28.0,31.0,10.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
0.534,48.0,1.6,83.0,2.0,5.0,6.07,887.9124999999999,1.3500000000000003,34.0,27.0,10.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
0.534,163.0,1.75,66.0,2.0,2.0,4.8100000000000005,1041.3125,2.4000000000000004,36.0,44.0,10.0,0.3600000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.534,7.4,0.65,7.0,2.0,5.0,3.73875,950.8724999999998,4.300000000000001,34.0,103.0,10.0,1.46,3.0,0.0,0.0,2.9399999999999995,1
0.534,208.0,1.85,60.0,2.0,2.0,3.27,976.5125,0.1000000000000014,36.0,50.0,10.0,0.4400000000000001,0.0,0.0,60.0,1.2600000000000002,1
0.534,97.0,1.6,21.0,2.0,2.0,0.75,1040.4725,5.25,36.0,89.0,10.0,0.2199999999999999,0.0,1.0,1.0,1.0200000000000005,0
0.534,74.0,1.45,73.0,2.0,2.0,12.96,952.3125,2.1,34.0,37.0,10.0,0.08,0.0,3.0,3.0,0.25,0
0.534,74.0,1.45,73.0,2.0,2.0,12.96,1017.4725,5.1,34.0,37.0,10.0,0.08,0.0,3.0,3.0,0.25,0
0.534,50.0,1.9,81.0,2.0,3.0,8.16,889.9124999999999,1.6500000000000012,36.0,29.0,10.0,0.4599999999999999,1.0,10.0,10.0,1.16,0
0.534,50.0,1.9,81.0,2.0,3.0,8.16,928.3125,2.5500000000000007,36.0,29.0,10.0,0.4599999999999999,1.0,10.0,10.0,1.16,1
0.534,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1001.9125,1.5500000000000016,36.0,71.0,10.0,0.3600000000000001,0.0,1.0,1.0,1.1700000000000004,1
0.971,30.0,1.15,33.0,2.0,5.0,2.04,972.06,5.15,34.0,77.0,9.0,0.6000000000000001,3.0,0.0,0.0,0.9399999999999996,1
0.971,205.0,1.85,58.0,2.0,2.0,3.03,1043.5,1.95,36.0,52.0,9.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
