B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
10.5,36.0,1.35,79.0,2.0,1.0,15.56,805.1999999999999,2.1500000000000004,18.0,31.0,7.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
10.5,87.0,1.45,42.0,2.0,1.0,6.459999999999999,921.36,5.25,23.0,68.0,7.0,0.5800000000000001,1.0,5.0,15.0,0.4600000000000004,1
10.5,43.0,1.45,51.0,2.0,5.0,2.95,877.3599999999999,5.25,24.0,59.0,7.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
6.77,55.0,1.6,47.0,2.0,1.0,6.76,974.2,2.6500000000000004,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,11.0,0.08,0
8.86,55.0,1.6,47.0,2.0,1.0,6.76,889.3599999999999,5.15,20.0,63.0,8.0,0.3499999999999998,1.0,10.0,17.0,0.08,0
8.96,30.0,1.15,33.0,2.0,5.0,2.04,790.6999999999999,1.700000000000001,24.0,77.0,8.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,0
8.96,36.0,1.35,79.0,2.0,1.0,15.56,796.6999999999999,1.9000000000000004,18.0,31.0,8.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
8.96,48.0,1.6,83.0,2.0,5.0,6.07,873.8599999999999,5.15,24.0,27.0,8.0,0.4399999999999999,3.0,10.0,20.0,0.33,0
13.5,36.0,1.35,79.0,2.0,1.0,15.56,849.2699999999999,5.050000000000001,17.0,31.0,6.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
13.5,48.0,1.6,83.0,2.0,5.0,6.07,686.31,0.0999999999999978,23.0,27.0,6.0,0.4399999999999999,3.0,10.0,40.0,0.33,0
13.5,54.0,1.35,77.0,2.0,2.0,18.86,867.2699999999999,5.050000000000001,19.0,33.0,6.0,0.6200000000000001,0.0,7.0,17.0,1.04,0
13.5,43.0,1.45,51.0,2.0,5.0,2.95,856.2699999999999,5.15,23.0,59.0,6.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
0.862,30.0,1.15,33.0,2.0,5.0,2.04,995.5,1.6500000000000012,34.0,77.0,8.0,0.6000000000000001,3.0,0.0,0.0,0.9399999999999996,1
0.862,55.0,1.35,27.0,2.0,2.0,5.119999999999999,1124.06,5.75,30.0,83.0,8.0,0.2999999999999998,0.0,7.0,7.0,0.0600000000000005,1
0.862,163.0,1.75,66.0,2.0,2.0,4.8100000000000005,1166.9,3.1500000000000004,36.0,44.0,8.0,0.3600000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.862,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,1030.5,2.0500000000000016,36.0,61.0,8.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.862,68.0,1.4,25.0,2.0,2.0,3.7,1137.06,5.800000000000001,32.0,85.0,8.0,0.03,0.0,5.0,5.0,0.6400000000000001,0
0.862,26.14,1.4,46.0,2.0,0.0,8.26,1095.2,5.800000000000001,29.0,64.0,8.0,0.6200000000000001,2.0,10.0,10.0,0.0899999999999998,1
0.862,66.0,1.35,45.0,2.0,1.0,8.66,1135.06,5.75,30.0,65.0,8.0,0.6999999999999997,1.0,8.0,8.0,0.0600000000000005,1
0.862,97.0,1.6,21.0,2.0,2.0,0.75,1166.06,6.0,36.0,89.0,8.0,0.2199999999999999,0.0,1.0,1.0,1.0200000000000005,1
0.862,50.0,1.9,81.0,2.0,3.0,8.16,944.1,0.9000000000000021,36.0,29.0,8.0,0.4599999999999999,1.0,10.0,50.0,1.16,0
6.15,46.5,1.35,29.0,2.0,1.0,5.220000000000001,975.7,2.5,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,11.0,0.1200000000000001,0
0.534,48.0,1.6,83.0,2.0,5.0,6.07,926.3125,2.25,34.0,27.0,10.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
0.534,48.0,1.6,83.0,2.0,5.0,6.07,816.5124999999999,0.1499999999999985,34.0,27.0,10.0,0.4399999999999999,3.0,10.0,50.0,0.33,0
0.534,205.0,1.85,58.0,2.0,2.0,3.03,1083.3125,2.5,36.0,52.0,10.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
0.534,184.0,1.85,63.0,2.0,2.0,1.5,1062.3125,2.5,36.0,47.0,10.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,0
0.534,87.0,1.45,42.0,2.0,1.0,6.459999999999999,926.9125,1.2000000000000002,33.0,68.0,10.0,0.5800000000000001,1.0,5.0,5.0,0.4600000000000004,0
0.534,87.0,1.45,42.0,2.0,1.0,6.459999999999999,965.3125,2.1,33.0,68.0,10.0,0.5800000000000001,1.0,5.0,5.0,0.4600000000000004,0
0.534,98.0,1.45,41.0,2.0,1.0,4.83,1041.4725,5.1,34.0,69.0,10.0,0.02,1.0,4.0,4.0,0.3600000000000003,0
0.534,216.0,1.85,59.0,2.0,2.0,3.03,1055.9125,1.6000000000000003,36.0,51.0,10.0,0.4500000000000002,0.0,0.0,0.0,1.2600000000000002,1
0.534,216.0,1.85,59.0,2.0,2.0,3.03,1094.3125,2.5,36.0,51.0,10.0,0.4500000000000002,0.0,0.0,0.0,1.2600000000000002,1
0.534,216.0,1.85,59.0,2.0,2.0,3.03,984.5125,0.1000000000000014,36.0,51.0,10.0,0.4500000000000002,0.0,0.0,60.0,1.2600000000000002,1
0.534,43.0,1.45,51.0,2.0,5.0,2.95,811.5124999999999,0.2999999999999989,34.0,59.0,10.0,0.4699999999999997,3.0,10.0,50.0,0.4899999999999993,0
0.534,192.0,1.85,62.0,2.0,2.0,3.78,1070.3125,2.5,36.0,48.0,10.0,0.4100000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.534,170.0,1.75,65.0,2.0,2.0,4.49,1048.3125,2.4000000000000004,36.0,45.0,10.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.534,50.0,1.9,81.0,2.0,3.0,8.16,993.4725,5.550000000000001,36.0,29.0,10.0,0.4599999999999999,1.0,10.0,10.0,1.16,1
0.534,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1105.4725,5.450000000000001,36.0,71.0,10.0,0.3600000000000001,0.0,1.0,1.0,1.1700000000000004,1
7.44,33.91,1.5,80.0,2.0,2.0,9.76,881.2699999999999,5.1,21.0,30.0,8.0,0.4199999999999999,0.0,10.0,15.0,0.5499999999999998,0
0.971,30.0,1.15,33.0,2.0,5.0,2.04,868.5,1.2500000000000009,34.0,77.0,9.0,0.6000000000000001,3.0,0.0,0.0,0.9399999999999996,1
