B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
0.862,50.0,1.9,81.0,2.0,3.0,8.16,1053.9,3.3000000000000007,36.0,29.0,8.0,0.4599999999999999,1.0,10.0,10.0,1.16,1
0.862,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1127.5,2.3000000000000016,36.0,71.0,8.0,0.3600000000000001,0.0,1.0,1.0,1.1700000000000004,1
0.534,36.0,1.35,79.0,2.0,1.0,15.56,979.4725,5.0,28.0,31.0,10.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
0.534,48.0,1.6,83.0,2.0,5.0,6.07,991.4725,5.25,34.0,27.0,10.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
0.534,205.0,1.85,58.0,2.0,2.0,3.03,1044.9125,1.6000000000000003,36.0,52.0,10.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
0.534,150.0,1.75,68.0,2.0,2.0,5.33,1028.3125,2.4000000000000004,36.0,42.0,10.0,0.3400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.534,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,904.9125,1.3000000000000016,36.0,61.0,10.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.534,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,943.3125,2.200000000000001,36.0,61.0,10.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.534,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,1008.4725,5.200000000000001,36.0,61.0,10.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
0.534,137.0,1.75,71.0,2.0,2.0,6.1,1015.3125,2.4000000000000004,36.0,39.0,10.0,0.31,0.0,1.0,1.0,1.2600000000000002,1
0.534,87.0,1.45,42.0,2.0,1.0,6.459999999999999,1030.4725,5.1,33.0,68.0,10.0,0.5800000000000001,1.0,5.0,5.0,0.4600000000000004,1
0.534,208.0,1.85,60.0,2.0,2.0,3.27,1151.4725,5.5,36.0,50.0,10.0,0.4400000000000001,0.0,0.0,0.0,1.2600000000000002,0
0.534,43.0,1.45,51.0,2.0,5.0,2.95,921.3125,2.1,34.0,59.0,10.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,1
0.534,43.0,1.45,51.0,2.0,5.0,2.95,986.4725,5.1,34.0,59.0,10.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,0
0.534,97.0,1.6,21.0,2.0,2.0,0.75,975.3125,2.25,36.0,89.0,10.0,0.2199999999999999,0.0,1.0,1.0,1.0200000000000005,1
0.534,144.0,1.75,69.0,2.0,2.0,5.58,1022.3125,2.4000000000000004,36.0,41.0,10.0,0.33,0.0,0.0,0.0,1.2600000000000002,1
0.534,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,930.5125,0.0500000000000024,36.0,71.0,10.0,0.3600000000000001,0.0,1.0,59.0,1.1700000000000004,1
0.971,57.8,1.25,13.0,2.0,3.0,1.04,999.86,5.25,36.0,97.0,9.0,0.03,1.0,0.0,0.0,1.1300000000000003,1
0.971,30.0,1.15,33.0,2.0,5.0,2.04,906.9,2.1500000000000004,34.0,77.0,9.0,0.6000000000000001,3.0,0.0,0.0,0.9399999999999996,1
0.971,36.0,1.35,79.0,2.0,1.0,15.56,874.5,1.4500000000000002,28.0,31.0,9.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
0.971,36.0,1.35,79.0,2.0,1.0,15.56,978.06,5.35,28.0,31.0,9.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
0.971,48.0,1.6,83.0,2.0,5.0,6.07,924.9,2.6,34.0,27.0,9.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
0.971,205.0,1.85,58.0,2.0,2.0,3.03,1147.06,5.85,36.0,52.0,9.0,0.4599999999999999,0.0,1.0,1.0,1.2600000000000002,1
0.971,150.0,1.75,68.0,2.0,2.0,5.33,1026.9,2.75,36.0,42.0,9.0,0.3400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.971,150.0,1.75,68.0,2.0,2.0,5.33,1092.06,5.75,36.0,42.0,9.0,0.3400000000000001,0.0,0.0,0.0,1.2600000000000002,1
0.971,72.0,1.3,44.0,2.0,1.0,8.66,1014.06,5.300000000000001,31.0,66.0,9.0,0.6200000000000001,1.0,7.0,7.0,0.1399999999999996,1
0.971,97.0,1.6,21.0,2.0,2.0,0.75,935.5,1.7000000000000002,36.0,89.0,9.0,0.2199999999999999,0.0,1.0,1.0,1.0200000000000005,1
0.971,162.0,1.8,39.0,2.0,2.0,0.7299999999999995,1000.5,1.9000000000000008,36.0,71.0,9.0,0.3600000000000001,0.0,1.0,1.0,1.1700000000000004,1
8.57,55.0,1.6,47.0,2.0,1.0,6.76,932.36,5.25,24.0,63.0,7.0,0.3499999999999998,1.0,10.0,14.0,0.08,0
6.77,55.0,1.6,47.0,2.0,1.0,6.76,875.4,0.2500000000000018,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,50.0,0.08,1
6.77,46.5,1.35,29.0,2.0,1.0,5.220000000000001,866.9,1.7763568394002505e-15,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,50.0,0.1200000000000001,0
1.53,57.8,1.25,13.0,2.0,3.0,1.04,1156.9599999999998,5.800000000000001,36.0,97.0,7.0,0.03,1.0,0.0,0.0,1.1300000000000003,0
1.53,36.0,1.35,79.0,2.0,1.0,15.56,1031.6,2.000000000000001,28.0,31.0,7.0,0.96,1.0,10.0,10.0,1.4099999999999993,0
1.53,48.0,1.6,83.0,2.0,5.0,6.07,1043.6,2.250000000000001,34.0,27.0,7.0,0.4399999999999999,3.0,10.0,10.0,0.33,0
1.53,48.0,1.6,83.0,2.0,5.0,6.07,1147.16,6.15,34.0,27.0,7.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
1.53,62.0,1.4,26.0,2.0,2.0,4.13,1161.16,5.950000000000001,31.0,84.0,7.0,0.25,0.0,6.0,6.0,0.3000000000000007,1
1.53,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,1060.6,2.200000000000002,36.0,61.0,7.0,0.1999999999999999,1.0,10.0,10.0,1.2600000000000002,1
1.53,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,989.2,0.7000000000000028,36.0,61.0,7.0,0.1999999999999999,1.0,10.0,50.0,1.2600000000000002,0
1.53,215.0,1.95,57.0,2.0,2.0,2.41,1249.0,3.5,36.0,53.0,7.0,0.48,0.0,1.0,1.0,1.2600000000000002,0
1.53,208.0,1.85,60.0,2.0,2.0,3.27,1242.0,3.4000000000000004,36.0,50.0,7.0,0.4400000000000001,0.0,0.0,0.0,1.2600000000000002,0
1.53,216.0,1.85,59.0,2.0,2.0,3.03,1250.0,3.4000000000000004,36.0,51.0,7.0,0.4500000000000002,0.0,0.0,0.0,1.2600000000000002,0
1.53,43.0,1.45,51.0,2.0,5.0,2.95,1038.6,2.1000000000000005,34.0,59.0,7.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,0
1.53,43.0,1.45,51.0,2.0,5.0,2.95,1077.0,3.0,34.0,59.0,7.0,0.4699999999999997,3.0,10.0,10.0,0.4899999999999993,0
